Driver,Team,deg_index,deg_pct,deg_abs,n_stints,n_races,vs_team
HUL,Audi,0.12994876571964614,0.013487643578144918,0.011625000000003105,21,10,0.19168080743542518
STR,Aston Martin,0.7599588348433814,0.05433865464353761,0.0498409090909088,12,8,0.9307576638864586
ANT,Mercedes,0.7936869025727268,0.055918261214693746,0.04875378787878816,26,12,0.922966624258286
LAW,Racing Bulls,0.8653387764048617,0.07356815173672214,0.05869999999999931,23,11,0.915220086332004
BOR,Audi,0.8780363944141162,0.06260346597933503,0.0523928571428571,25,11,1.2951467765541278
ALO,Aston Martin,0.9108213742279982,0.05924848218656645,0.043363636363636285,19,10,1.1155261780317582
HAD,Red Bull Racing,0.9512214173980862,0.07722643279403078,0.06104780701754357,20,9,0.8806715609956994
SAI,Williams,0.9575470918021332,0.05486902865850854,0.043199999999998795,21,12,0.963767668593197
RUS,Mercedes,0.9900314552687594,0.06062258488037975,0.0549999999999987,19,11,1.1512927669802329
HAM,Ferrari,1.0,0.07162877608221749,0.05827272727272517,25,12,1.0
LIN,Racing Bulls,1.0,0.07818884767712253,0.07099761904761814,21,11,1.0576436781608
ALB,Williams,1.0035814372335978,0.06528045238064718,0.05869791666666731,20,9,1.0101010700013697
LEC,Ferrari,1.003828831204449,0.061182739284833254,0.0527067307692306,26,12,1.003828831204449
NOR,McLaren,1.0155501685094317,0.0823051240231174,0.07002500000000005,23,11,0.9407773984049395
COL,Alpine,1.0170819193791898,0.075707651532666,0.0618296969696968,24,12,0.9972636082693249
BEA,Haas F1 Team,1.0355326965183187,0.05797651555495112,0.06015000000000015,21,11,0.8947347495351153
GAS,Alpine,1.0410138158024405,0.08347831976598895,0.06416666666666752,23,11,1.0207291806337873
PER,Cadillac,1.1020662006605098,0.053817960292683764,0.04794444444444307,16,9,0.8610393496426759
VER,Red Bull Racing,1.1065939215423768,0.05667795863865786,0.05376282051282043,20,10,1.0245204517564286
PIA,McLaren,1.2541028620239192,0.10793212889137192,0.08158780487804801,22,10,1.1617659712456578
OCO,Haas F1 Team,1.3310914353822902,0.05607329613045236,0.04844444444444365,21,12,1.1501073467302556
BOT,Cadillac,1.7822736030829007,0.07027022452621373,0.06706730769230891,15,10,1.3924823238060122
