Driver,Compound,deg_rel,deg_pct,deg_abs,n_stints
ALB,HARD,0.774103400093179,0.0674107008999516,0.05245833333333334,9
ALB,MEDIUM,1.0136173105245327,0.05709804763438206,0.06383333333333377,7
ALB,SOFT,1.0165783934069184,0.10784927269665714,0.09061458333333301,4
ALO,HARD,0.6609390136854275,0.036980400387793835,0.028777777777777288,5
ALO,MEDIUM,1.0010660626662877,0.06084529080187279,0.05430681818181879,6
ALO,SOFT,0.9595638921350141,0.07051225514403733,0.056280476190476186,8
ANT,HARD,0.7507695090097773,0.06497273465599367,0.05600000000000094,13
ANT,MEDIUM,0.8304817442207211,0.04835359034857352,0.0416204545454541,10
ANT,SOFT,1.174868040183943,0.029390266965851574,0.032857142857143425,3
BEA,HARD,1.2136296711772292,0.08178858512375531,0.07712499999999878,11
BEA,MEDIUM,0.9527768661342271,0.048104001263133266,0.04536111111110941,9
BEA,SOFT,-11.426206755296592,-0.0696517412935314,-0.05366666666666594,1
BOR,HARD,1.20362817453269,0.07365677831387862,0.06758806818181626,12
BOR,MEDIUM,0.8780363944141162,0.01993599496354384,0.019000000000005457,9
BOR,SOFT,0.41441492152971854,0.051688448770896,0.03871249999999993,4
BOT,HARD,2.010999082118071,0.0789418380382493,0.07303365384615476,6
BOT,MEDIUM,1.069413368436234,0.06622669378929974,0.0628713013285021,8
BOT,SOFT,5.32276712203246,0.0324464633354953,0.024999999999999127,1
COL,HARD,1.232336683501913,0.08614212256145412,0.07250729095465905,14
COL,MEDIUM,0.9066273932253329,0.07901654750263526,0.06222000000000008,9
COL,SOFT,0.6896274887604649,0.0613246407975208,0.047722222222222714,1
GAS,HARD,0.779282208951688,0.041684353105579455,0.03972727272727251,13
GAS,MEDIUM,1.2022486642501673,0.09347959459545453,0.07313055555555563,8
GAS,SOFT,1.6730293940306789,0.18237243370620032,0.15131547619047642,2
HAD,HARD,0.8244508189454035,0.06422737437424009,0.05057456140350786,11
HAD,MEDIUM,1.2886783147084149,0.14379329425059553,0.10476348039215638,8
HAD,SOFT,-0.33457393338510194,-0.002039491981089522,-0.0015714285714294768,1
HAM,HARD,0.9453722802582075,0.07162877608221749,0.06173684210526326,13
HAM,MEDIUM,1.487335139457053,0.05429284991741842,0.05181818181818249,7
HAM,SOFT,0.8420914345769789,0.07488239025523993,0.05827272727272517,5
HUL,HARD,0.07257546563903082,0.006453722384277336,0.005022222222220781,9
HUL,MEDIUM,0.7675405007363842,0.06234979795511196,0.04618449656750637,8
HUL,SOFT,0.37580856041839206,0.03341851267807596,0.026005952380951936,4
LAW,HARD,0.6988706911842946,0.06917071733686765,0.05869999999999931,9
LAW,MEDIUM,0.9454980166278306,0.07365734096999979,0.058000000000006935,9
LAW,SOFT,1.5364511055601715,0.06826004563561154,0.05883333333333359,5
LEC,HARD,0.9890696169224544,0.043840916412408705,0.03566666666666644,13
LEC,MEDIUM,1.2973906988321309,0.06753217068398491,0.058002564102564234,8
LEC,SOFT,1.0088495575221432,0.10471052326255932,0.09024999999999987,5
LIN,HARD,0.7725508461419192,0.06920587857967564,0.05872983870967724,11
LIN,MEDIUM,1.0139162207184342,0.0956242400187712,0.07574375000000075,10
NOR,HARD,1.0681569931224462,0.10260618152992942,0.07722842809364575,12
NOR,MEDIUM,0.9628276877761479,0.05718482765857003,0.05450000000000017,9
NOR,SOFT,1.2723324501340079,0.12039458499683273,0.09792857142857109,2
OCO,HARD,1.286022780200754,0.046000338237780984,0.039037037037036884,13
OCO,MEDIUM,1.416860735910616,0.1361575258750271,0.12675000000000125,7
OCO,SOFT,0.1530295547585074,0.0009328358208959421,0.0007187500000003233,1
PER,HARD,1.219867790892358,0.06477172498722847,0.05802083333333236,8
PER,MEDIUM,1.0465322532962853,0.04290319383966039,0.040888888888888336,7
PER,SOFT,-0.8095926231764576,-0.07199245624308866,-0.05602380952380917,1
PIA,HARD,1.00676310215387,0.1057804177246478,0.07945000000000005,12
PIA,MEDIUM,1.3160262351753587,0.10828931694770169,0.08838363821138258,8
PIA,SOFT,0.7285649358462305,0.05927616509629789,0.04612499999999994,2
RUS,HARD,0.8599302311831146,0.10058138574310889,0.0767974308300399,13
RUS,MEDIUM,1.405730352122115,0.05770945910497739,0.0549999999999987,5
RUS,SOFT,3.1946280490598395,0.019473777358267233,0.015004545454544903,1
SAI,HARD,1.0713652220185876,0.05486902865850854,0.043199999999998795,9
SAI,MEDIUM,0.7141450607154469,0.019630110317975315,0.01512499999999998,7
SAI,SOFT,1.533879264471117,0.22080925648873925,0.16087500000000077,5
STR,HARD,0.07488980878741192,0.01706973888289821,0.012283333333332775,2
STR,MEDIUM,1.5700007129034002,0.05433865464353761,0.0498409090909088,4
STR,SOFT,0.7599588348433814,0.07640256073212053,0.06288018341307886,6
VER,HARD,1.12578501925331,0.05667795863865786,0.05376282051282043,10
VER,MEDIUM,1.1205882894968477,0.09107181499448061,0.07794618055555606,8
VER,SOFT,-0.1840525178621296,0.021053474018580993,0.01837499999999955,2
