Driver,events,exposure,races,raw_rate,rate,pooled_rate,shrinkage
LAT,10,3312.0,61,0.0030193236714975845,0.002281086584162347,0.0008111375010603105,0.33431831845457544
GRO,8,2898.0,56,0.0027605244996549345,0.002049657307815145,0.0008111375010603105,0.3646619128742916
HAR,3,1016.0,20,0.002952755905511811,0.0016232312966366332,0.0008111375010603105,0.6208036903827825
MAZ,3,1042.0,21,0.0028790786948176585,0.0016076310975570007,0.0008111375010603105,0.614837404999172
LEC,12,9159.0,168,0.0013101867016049786,0.0012334848856952747,0.0008111375010603105,0.15369589977499373
ERI,2,1060.0,20,0.0018867924528301887,0.0012298107684536378,0.0008111375010603105,0.6107736345150051
VET,7,5614.0,99,0.0012468827930174563,0.0011472864760274323,0.0008111375010603105,0.22856544598035317
MAG,8,6571.0,121,0.0012174707046111702,0.0011353908016852876,0.0008111375010603105,0.2020014663054949
KVY,3,2198.0,38,0.001364877161055505,0.0011263431848015837,0.0008111375010603105,0.43076917455396174
MSC,3,2322.0,43,0.0012919896640826874,0.0010912982023229695,0.0008111375010603105,0.41736624516416826
GIO,4,3405.0,60,0.0011747430249632893,0.0010554135616988923,0.0008111375010603105,0.32818385700938324
STR,10,9335.0,168,0.0010712372790573112,0.001031900725858374,0.0008111375010603105,0.15123639667001548
SIR,1,1094.0,20,0.0009140767824497258,0.0008519794450364523,0.0008111375010603105,0.6032423830351192
SAI,8,9366.0,168,0.0008541533205210335,0.0008476660480404859,0.0008111375010603105,0.15081131922805946
VAN,1,1167.0,20,0.000856898029134533,0.0008300053152742789,0.0008111375010603105,0.5876836433494578
HUL,5,6041.0,111,0.0008276775368316504,0.0008241065826200043,0.0008111375010603105,0.21589761116682737
TSU,5,6073.0,111,0.0008233163181294253,0.0008206978165562563,0.0008111375010603105,0.21500459020848237
RUS,7,8612.0,151,0.0008128193218764515,0.0008125470724618975,0.0008111375010603105,0.1618777767174197
ZHO,3,3691.0,68,0.000812787862367922,0.0008122751708956471,0.0008111375010603105,0.31065407914643256
AIT,0,87.0,1,0.0,0.0007708204653337352,0.0008111375010603105,0.9502956827000683
FIT,0,142.0,2,0.0,0.0007473374272445035,0.0008111375010603105,0.9213449338337726
VER,7,9637.0,172,0.0007263671266991802,0.000738844870514081,0.0008111375010603105,0.14719462912531475
BOT,6,8288.0,148,0.0007239382239382239,0.0007385134311259574,0.0008111375010603105,0.16714825705867845
RIC,5,6985.0,126,0.0007158196134574087,0.0007341522529807093,0.0008111375010603105,0.19233157578643514
DOO,0,276.0,7,0.0,0.000695699937796241,0.0008111375010603105,0.8576843468423407
GAS,6,9275.0,170,0.0006469002695417789,0.0006718751637564707,0.0008111375010603105,0.15206597178833758
SAR,1,1937.0,36,0.0005162622612287042,0.0006524937065218511,0.0008111375010603105,0.4619968952664325
PER,5,8087.0,146,0.0006182762458266354,0.0006511772108235059,0.0008111375010603105,0.1705939586310736
ALB,4,6975.0,128,0.0005734767025089606,0.0006192392932137866,0.0008111375010603105,0.19255422427160782
ALO,4,7280.0,133,0.0005494505494505495,0.0005981210361909571,0.0008111375010603105,0.1859874420218976
DEV,0,621.0,11,0.0,0.000590630059441318,0.0008111375010603105,0.7281503551114978
OCO,4,8014.0,149,0.0004991265285749938,0.0005527552287582892,0.0008111375010603105,0.17188081481916176
RAI,2,4396.0,78,0.00045495905368516835,0.0005527335131730455,0.0008111375010603105,0.2745097582642247
NOR,4,8677.0,150,0.00046098882102109026,0.0005173138092427076,0.0008111375010603105,0.1608602043432187
BOR,0,1241.0,24,0.0,0.00046454659341606925,0.0008111375010603105,0.5727100433758996
ANT,0,1316.0,24,0.0,0.00045285243758923867,0.0008111375010603105,0.5582930600511931
KUB,0,1338.0,23,0.0,0.0004495330145272618,0.0008111375010603105,0.5542007538051648
HAD,0,1352.0,24,0.0,0.00044744587367169996,0.0008111375010603105,0.5516276501663446
COL,0,1462.0,26,0.0,0.0004316975476193433,0.0008111375010603105,0.5322125373996798
BEA,0,1547.0,27,0.0,0.00042026755386154473,0.0008111375010603105,0.518121222742353
LAW,0,1934.0,35,0.0,0.0003750555229254528,0.0008111375010603105,0.46238217618490585
HAM,2,9801.0,169,0.00020406081012141618,0.0002921409470074168,0.0008111375010603105,0.14508897837895468
PIA,0,3980.0,69,0.0,0.0002390789366768966,0.0008111375010603105,0.294745263736882
