Team,events,exposure,races,raw_rate,rate,pooled_rate,shrinkage
Renault,13,6118.0,114,0.0021248774109186006,0.0018531169127289822,0.0008535499194164051,0.21376120630295473
Sauber,5,2081.0,40,0.002402691013935608,0.0017145169183725088,0.0008535499194164051,0.4442294494657914
Racing Point,9,4956.0,90,0.0018159806295399517,0.001574135158207511,0.0008535499194164051,0.2512861121206276
Toro Rosso,8,4469.0,82,0.0017901096442157081,0.0015360753375785114,0.0008535499194164051,0.2712419719859663
Alfa Romeo,7,4710.0,88,0.00148619957537155,0.0013210873096474796,0.0008535499194164051,0.2609853086457333
Force India,2,1344.0,24,0.001488095238095238,0.0011371313559719628,0.0008535499194164051,0.5530950616009683
AlphaTauri,10,8934.0,163,0.0011193194537721066,0.0010776044993441175,0.0008535499194164051,0.156959128250413
Red Bull Racing,20,19150.0,344,0.0010443864229765013,0.0010291352467594315,0.0008535499194164051,0.07991749970553769
McLaren,17,19322.0,340,0.0008798261049580789,0.0008777433893165082,0.0008535499194164051,0.0792624804033115
Williams,16,18407.0,341,0.0008692345303417178,0.0008679346520866768,0.0008535499194164051,0.08287602805264623
Haas F1 Team,16,18425.0,338,0.0008683853459972863,0.0008671569464521586,0.0008535499194164051,0.08280176767621342
Alpine,10,12304.0,225,0.000812743823146944,0.0008176033602172261,0.0008535499194164051,0.11908850673174833
Alfa Romeo Racing,5,6861.0,120,0.0007287567409998542,0.000753107551413556,0.0008535499194164051,0.19512933898053655
Ferrari,12,18785.0,338,0.0006388075592227841,0.000656275565012379,0.0008535499194164051,0.08134401509718425
Mercedes,7,19747.0,342,0.0003544842254519674,0.00039325619174624944,0.0008535499194164051,0.07768910338494403
Aston Martin,4,12517.0,223,0.00031956539106814733,0.0003822016181319532,0.0008535499194164051,0.1172997039025733
RB,0,2629.0,48,0.0,0.0003307635131276135,0.0008535499194164051,0.38751513602598125
Racing Bulls,0,2642.0,48,0.0,0.0003297647732570191,0.0008535499194164051,0.38634503472566445
Kick Sauber,0,5223.0,94,0.0,0.00020616914423926276,0.0008535499194164051,0.24154315939743293
