Driver,Team,delta,sigma,n_races,n_laps,newest_race_weight,delta_raw
ANT,Mercedes,0.0,0.914,12,611,0.30000000009639555,0.0
HAM,Ferrari,0.064,0.923,12,614,0.30000000009639555,0.064
LEC,Ferrari,0.111,0.993,12,603,0.30000000009639555,0.111
NOR,McLaren,0.291,0.992,11,513,0.3027345657370658,0.291
RUS,Mercedes,0.39,1.063,11,542,0.3524804155011443,0.39
PIA,McLaren,0.558,0.973,10,498,0.30469114496855226,0.558
VER,Red Bull Racing,0.669,0.82,10,481,0.3186133512623281,0.669
TSU,Racing Bulls,0.974,0.876,1,55,1.0,0.974
HAD,Red Bull Racing,0.98,1.072,10,459,0.30998104552586186,0.98
LAW,Racing Bulls,1.193,0.919,11,555,0.305561395964677,1.483
HUL,Audi,1.333,1.065,10,462,0.3075548058094754,1.832
GAS,Alpine,1.333,1.146,11,558,0.305561395964677,1.834
BOR,Audi,1.351,1.161,11,548,0.3027345657370658,1.877
LIN,Racing Bulls,1.39,1.003,11,545,0.3079561639183226,1.974
COL,Alpine,1.437,1.157,12,591,0.30000000009639555,2.092
OCO,Haas F1 Team,1.592,1.0,12,573,0.30000000009639555,2.481
SAI,Williams,1.669,0.973,12,541,0.30000000009639555,2.673
ALB,Williams,1.709,1.001,11,480,0.3027345657370658,2.772
BEA,Haas F1 Team,1.796,1.006,11,465,0.301921279708222,2.99
STR,Aston Martin,1.987,1.015,11,379,0.3164745112299707,3.468
ALO,Aston Martin,2.003,1.203,12,485,0.30000000009639555,3.507
PER,Cadillac,2.09,1.059,11,433,0.3239366504996693,3.724
BOT,Cadillac,2.233,0.916,11,333,0.3239366504996693,4.084
