Driver,Team,GridPosition,Position
GAS,Alpine,1.0,7.0
RUS,Mercedes,2.0,2.0
LEC,Ferrari,3.0,22.0
HAM,Ferrari,4.0,6.0
VER,Red Bull Racing,5.0,3.0
PIA,McLaren,6.0,5.0
COL,Alpine,7.0,9.0
NOR,McLaren,8.0,4.0
LIN,Racing Bulls,9.0,8.0
BOR,Audi,10.0,11.0
BEA,Haas F1 Team,11.0,15.0
HUL,Audi,12.0,12.0
SAI,Williams,13.0,13.0
OCO,Haas F1 Team,14.0,16.0
TSU,Racing Bulls,15.0,10.0
BOT,Cadillac,16.0,19.0
PER,Cadillac,17.0,18.0
STR,Aston Martin,18.0,20.0
ANT,Mercedes,19.0,1.0
ALB,Williams,20.0,17.0
ALO,Aston Martin,21.0,21.0
LAW,Red Bull Racing,22.0,14.0
