Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,Position,PitInTime,PitOutTime,Race,Round
NOR,McLaren,1.0,0 days 00:01:36.458000,MEDIUM,1.0,1.0,1,6.0,,,Australian Grand Prix,1
NOR,McLaren,2.0,0 days 00:01:27.344000,MEDIUM,2.0,1.0,1,6.0,,,Australian Grand Prix,1
NOR,McLaren,3.0,0 days 00:01:26.863000,MEDIUM,3.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,4.0,0 days 00:01:25.857000,MEDIUM,4.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,5.0,0 days 00:01:25.573000,MEDIUM,5.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,6.0,0 days 00:01:25.036000,MEDIUM,6.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,7.0,0 days 00:01:24.978000,MEDIUM,7.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,8.0,0 days 00:01:25.299000,MEDIUM,8.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,9.0,0 days 00:01:25.639000,MEDIUM,9.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,10.0,0 days 00:01:25.295000,MEDIUM,10.0,1.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,11.0,0 days 00:01:43.391000,MEDIUM,11.0,1.0,16,9.0,0 days 01:18:15.593000,,Australian Grand Prix,1
NOR,McLaren,12.0,0 days 00:01:58.075000,HARD,1.0,2.0,6,9.0,,0 days 01:18:34.141000,Australian Grand Prix,1
NOR,McLaren,13.0,0 days 00:01:51.932000,HARD,2.0,2.0,671,9.0,,,Australian Grand Prix,1
NOR,McLaren,14.0,0 days 00:01:24.233000,HARD,3.0,2.0,1,9.0,,,Australian Grand Prix,1
NOR,McLaren,15.0,0 days 00:01:23.784000,HARD,4.0,2.0,1,9.0,,,Australian Grand Prix,1
NOR,McLaren,16.0,0 days 00:01:23.912000,HARD,5.0,2.0,1,9.0,,,Australian Grand Prix,1
NOR,McLaren,17.0,0 days 00:01:24.053000,HARD,6.0,2.0,1,9.0,,,Australian Grand Prix,1
NOR,McLaren,18.0,0 days 00:01:35.404000,HARD,7.0,2.0,126,5.0,,,Australian Grand Prix,1
NOR,McLaren,19.0,0 days 00:01:56.070000,HARD,8.0,2.0,67,5.0,,,Australian Grand Prix,1
NOR,McLaren,20.0,0 days 00:01:25.774000,HARD,9.0,2.0,71,5.0,,,Australian Grand Prix,1
NOR,McLaren,21.0,0 days 00:01:23.972000,HARD,10.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,22.0,0 days 00:01:23.687000,HARD,11.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,23.0,0 days 00:01:23.534000,HARD,12.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,24.0,0 days 00:01:23.394000,HARD,13.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,25.0,0 days 00:01:23.500000,HARD,14.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,26.0,0 days 00:01:23.403000,HARD,15.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,27.0,0 days 00:01:23.896000,HARD,16.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,28.0,0 days 00:01:24.040000,HARD,17.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,29.0,0 days 00:01:24.080000,HARD,18.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,30.0,0 days 00:01:23.961000,HARD,19.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,31.0,0 days 00:01:24.094000,HARD,20.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,32.0,0 days 00:01:24.075000,HARD,21.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,33.0,0 days 00:01:24.790000,HARD,22.0,2.0,1,5.0,,,Australian Grand Prix,1
NOR,McLaren,34.0,0 days 00:01:52.732000,HARD,23.0,2.0,167,6.0,0 days 01:52:42.584000,,Australian Grand Prix,1
NOR,McLaren,35.0,0 days 00:01:29.434000,MEDIUM,1.0,3.0,1,8.0,,0 days 01:53:00.323000,Australian Grand Prix,1
NOR,McLaren,36.0,0 days 00:01:23.324000,MEDIUM,2.0,3.0,1,8.0,,,Australian Grand Prix,1
NOR,McLaren,37.0,0 days 00:01:23.448000,MEDIUM,3.0,3.0,1,8.0,,,Australian Grand Prix,1
NOR,McLaren,38.0,0 days 00:01:23.423000,MEDIUM,4.0,3.0,1,7.0,,,Australian Grand Prix,1
NOR,McLaren,39.0,0 days 00:01:24.001000,MEDIUM,5.0,3.0,1,6.0,,,Australian Grand Prix,1
