Driver,Team,quali_pos,Race,Round,is_target
RUS,Mercedes,1.0,Australian Grand Prix,1,False
ANT,Mercedes,2.0,Australian Grand Prix,1,False
HAD,Red Bull Racing,3.0,Australian Grand Prix,1,False
LEC,Ferrari,4.0,Australian Grand Prix,1,False
PIA,McLaren,5.0,Australian Grand Prix,1,False
NOR,McLaren,6.0,Australian Grand Prix,1,False
HAM,Ferrari,7.0,Australian Grand Prix,1,False
LAW,Racing Bulls,8.0,Australian Grand Prix,1,False
LIN,Racing Bulls,9.0,Australian Grand Prix,1,False
BOR,Audi,10.0,Australian Grand Prix,1,False
HUL,Audi,11.0,Australian Grand Prix,1,False
BEA,Haas F1 Team,12.0,Australian Grand Prix,1,False
OCO,Haas F1 Team,13.0,Australian Grand Prix,1,False
GAS,Alpine,14.0,Australian Grand Prix,1,False
ALB,Williams,15.0,Australian Grand Prix,1,False
COL,Alpine,16.0,Australian Grand Prix,1,False
ALO,Aston Martin,17.0,Australian Grand Prix,1,False
PER,Cadillac,18.0,Australian Grand Prix,1,False
BOT,Cadillac,19.0,Australian Grand Prix,1,False
ANT,Mercedes,1.0,Chinese Grand Prix,2,False
RUS,Mercedes,2.0,Chinese Grand Prix,2,False
HAM,Ferrari,3.0,Chinese Grand Prix,2,False
LEC,Ferrari,4.0,Chinese Grand Prix,2,False
PIA,McLaren,5.0,Chinese Grand Prix,2,False
NOR,McLaren,6.0,Chinese Grand Prix,2,False
GAS,Alpine,7.0,Chinese Grand Prix,2,False
VER,Red Bull Racing,8.0,Chinese Grand Prix,2,False
HAD,Red Bull Racing,9.0,Chinese Grand Prix,2,False
BEA,Haas F1 Team,10.0,Chinese Grand Prix,2,False
HUL,Audi,11.0,Chinese Grand Prix,2,False
COL,Alpine,12.0,Chinese Grand Prix,2,False
OCO,Haas F1 Team,13.0,Chinese Grand Prix,2,False
LAW,Racing Bulls,14.0,Chinese Grand Prix,2,False
LIN,Racing Bulls,15.0,Chinese Grand Prix,2,False
BOR,Audi,16.0,Chinese Grand Prix,2,False
SAI,Williams,17.0,Chinese Grand Prix,2,False
ALB,Williams,18.0,Chinese Grand Prix,2,False
ALO,Aston Martin,19.0,Chinese Grand Prix,2,False
BOT,Cadillac,20.0,Chinese Grand Prix,2,False
STR,Aston Martin,21.0,Chinese Grand Prix,2,False
PER,Cadillac,22.0,Chinese Grand Prix,2,False
ANT,Mercedes,1.0,Japanese Grand Prix,3,False
RUS,Mercedes,2.0,Japanese Grand Prix,3,False
PIA,McLaren,3.0,Japanese Grand Prix,3,False
LEC,Ferrari,4.0,Japanese Grand Prix,3,False
NOR,McLaren,5.0,Japanese Grand Prix,3,False
HAM,Ferrari,6.0,Japanese Grand Prix,3,False
GAS,Alpine,7.0,Japanese Grand Prix,3,False
HAD,Red Bull Racing,8.0,Japanese Grand Prix,3,False
BOR,Audi,9.0,Japanese Grand Prix,3,False
LIN,Racing Bulls,10.0,Japanese Grand Prix,3,False
VER,Red Bull Racing,11.0,Japanese Grand Prix,3,False
OCO,Haas F1 Team,12.0,Japanese Grand Prix,3,False
HUL,Audi,13.0,Japanese Grand Prix,3,False
LAW,Racing Bulls,14.0,Japanese Grand Prix,3,False
COL,Alpine,15.0,Japanese Grand Prix,3,False
SAI,Williams,16.0,Japanese Grand Prix,3,False
ALB,Williams,17.0,Japanese Grand Prix,3,False
BEA,Haas F1 Team,18.0,Japanese Grand Prix,3,False
PER,Cadillac,19.0,Japanese Grand Prix,3,False
BOT,Cadillac,20.0,Japanese Grand Prix,3,False
ALO,Aston Martin,21.0,Japanese Grand Prix,3,False
STR,Aston Martin,22.0,Japanese Grand Prix,3,False
ANT,Mercedes,1.0,Miami Grand Prix,4,False
VER,Red Bull Racing,2.0,Miami Grand Prix,4,False
LEC,Ferrari,3.0,Miami Grand Prix,4,False
NOR,McLaren,4.0,Miami Grand Prix,4,False
RUS,Mercedes,5.0,Miami Grand Prix,4,False
HAM,Ferrari,6.0,Miami Grand Prix,4,False
PIA,McLaren,7.0,Miami Grand Prix,4,False
COL,Alpine,8.0,Miami Grand Prix,4,False
GAS,Alpine,9.0,Miami Grand Prix,4,False
HUL,Audi,10.0,Miami Grand Prix,4,False
LAW,Racing Bulls,11.0,Miami Grand Prix,4,False
BEA,Haas F1 Team,12.0,Miami Grand Prix,4,False
SAI,Williams,13.0,Miami Grand Prix,4,False
OCO,Haas F1 Team,14.0,Miami Grand Prix,4,False
ALB,Williams,15.0,Miami Grand Prix,4,False
LIN,Racing Bulls,16.0,Miami Grand Prix,4,False
ALO,Aston Martin,17.0,Miami Grand Prix,4,False
STR,Aston Martin,18.0,Miami Grand Prix,4,False
BOT,Cadillac,19.0,Miami Grand Prix,4,False
PER,Cadillac,20.0,Miami Grand Prix,4,False
BOR,Audi,21.0,Miami Grand Prix,4,False
HAD,Red Bull Racing,22.0,Miami Grand Prix,4,False
RUS,Mercedes,1.0,Canadian Grand Prix,5,False
ANT,Mercedes,2.0,Canadian Grand Prix,5,False
NOR,McLaren,3.0,Canadian Grand Prix,5,False
PIA,McLaren,4.0,Canadian Grand Prix,5,False
