Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Race,Round
RUS,Mercedes,1.0,1.0,1,Finished,25.0,Australian Grand Prix,1
ANT,Mercedes,2.0,2.0,2,Finished,18.0,Australian Grand Prix,1
LEC,Ferrari,4.0,3.0,3,Finished,15.0,Australian Grand Prix,1
HAM,Ferrari,7.0,4.0,4,Finished,12.0,Australian Grand Prix,1
NOR,McLaren,6.0,5.0,5,Finished,10.0,Australian Grand Prix,1
VER,Red Bull Racing,20.0,6.0,6,Finished,8.0,Australian Grand Prix,1
BEA,Haas F1 Team,12.0,7.0,7,Lapped,6.0,Australian Grand Prix,1
LIN,Racing Bulls,9.0,8.0,8,Lapped,4.0,Australian Grand Prix,1
BOR,Audi,10.0,9.0,9,Lapped,2.0,Australian Grand Prix,1
GAS,Alpine,14.0,10.0,10,Lapped,1.0,Australian Grand Prix,1
OCO,Haas F1 Team,13.0,11.0,11,Lapped,0.0,Australian Grand Prix,1
ALB,Williams,15.0,12.0,12,Lapped,0.0,Australian Grand Prix,1
LAW,Racing Bulls,8.0,13.0,13,Lapped,0.0,Australian Grand Prix,1
COL,Alpine,16.0,14.0,14,Lapped,0.0,Australian Grand Prix,1
SAI,Williams,21.0,15.0,15,Lapped,0.0,Australian Grand Prix,1
PER,Cadillac,18.0,16.0,16,Lapped,0.0,Australian Grand Prix,1
STR,Aston Martin,22.0,17.0,R,Lapped,0.0,Australian Grand Prix,1
ALO,Aston Martin,17.0,18.0,R,Retired,0.0,Australian Grand Prix,1
BOT,Cadillac,19.0,19.0,R,Retired,0.0,Australian Grand Prix,1
HAD,Red Bull Racing,3.0,20.0,R,Retired,0.0,Australian Grand Prix,1
PIA,McLaren,5.0,21.0,W,Did not start,0.0,Australian Grand Prix,1
HUL,Audi,11.0,22.0,W,Did not start,0.0,Australian Grand Prix,1
ANT,Mercedes,1.0,1.0,1,Finished,25.0,Chinese Grand Prix,2
