Race,grid_gap,start_sigma,grid_finish_corr,grid_finish_mae,n_seasons
Monaco Grand Prix,1.9587133601429847,0.92123746650644,0.850375939849624,2.35,4
Japanese Grand Prix,1.8136666068331553,2.073276791942057,0.8052631578947367,2.4000000000000004,4
Miami Grand Prix,0.5582114226243575,1.9565549779941454,0.8015037593984962,2.8499999999999996,4
Italian Grand Prix,0.45786015037593986,1.6668659461404334,0.7781954887218043,2.7,4
Saudi Arabian Grand Prix,0.6361014079315939,2.264333850493419,0.7644110275689222,2.65,4
Mexico City Grand Prix,0.5870954887218045,1.9464692520033233,0.7335956530317314,3.305263157894737,4
Hungarian Grand Prix,0.5598030075187972,2.3319879460836628,0.7240601503759398,3.15,4
Singapore Grand Prix,0.6462304511278198,1.5816772788072306,0.716292017544971,3.192105263157895,4
Emilia Romagna Grand Prix,0.5787030075187971,1.025978352085154,0.6977443609022556,3.6,3
Abu Dhabi Grand Prix,0.4780781954887219,1.7770466332772772,0.6932330827067669,3.0,3
Qatar Grand Prix,1.4159265685378235,3.230049546610315,0.6458646616541353,3.45,2
Belgian Grand Prix,0.542823160601033,1.747957811645767,0.643609022556391,3.0999999999999996,4
Austrian Grand Prix,0.8518838345864665,3.0775074167544103,0.6436090225563909,3.2,4
Bahrain Grand Prix,0.5150409774436089,2.4930930925375585,0.612781954887218,3.7,4
Chinese Grand Prix,0.6062766917293233,1.7458306946597344,0.6075187969924812,3.9000000000000004,2
Spanish Grand Prix,0.473806015037594,2.5155788658494878,0.6058897243107769,3.431578947368421,4
Azerbaijan Grand Prix,0.7739030075187968,1.3295914938158122,0.6022556390977443,3.5,4
British Grand Prix,0.6473594950963135,2.19388337775441,0.6015037593984962,3.65,4
Dutch Grand Prix,0.5266424812030075,1.7206007801900753,0.5980295716423112,3.718421052631579,4
Canadian Grand Prix,0.6781932330827067,1.1697953037312037,0.5977443609022556,4.15,4
Australian Grand Prix,1.0744399413349195,1.6289294793596396,0.4680451127819549,4.3,4
Las Vegas Grand Prix,0.8171650375939854,3.2964216981373697,0.4616541353383458,4.3,2
São Paulo Grand Prix,0.9066096173142251,2.2623905824983015,0.4526315789473684,4.539473684210526,4
French Grand Prix,0.5401751879699248,3.8251246969698154,0.4466165413533834,3.6,1
United States Grand Prix,0.5481214285714289,2.3402708772858847,0.40481162096179846,4.505263157894737,4
