Season,Race,race_laps,sc_events,sc_laps,sc_mean_duration,vsc_events,vsc_laps,vsc_mean_duration,red_events,wet_share
2022,Abu Dhabi Grand Prix,58,0,0,,0,0,,0,0.0
2022,Australian Grand Prix,58,2,8,4.0,2,3,1.5,0,0.0
2022,Austrian Grand Prix,71,0,0,,1,4,4.0,0,0.0
2022,Azerbaijan Grand Prix,51,0,0,,2,6,3.0,0,0.0
2022,Bahrain Grand Prix,57,1,7,7.0,0,0,,0,0.0
2022,Belgian Grand Prix,44,1,3,3.0,0,0,,0,0.0
2022,British Grand Prix,52,1,5,5.0,0,0,,1,0.0
2022,Canadian Grand Prix,70,1,7,7.0,2,6,3.0,0,0.0
2022,Dutch Grand Prix,72,1,7,7.0,1,5,5.0,0,0.0
2022,Emilia Romagna Grand Prix,63,1,4,4.0,0,0,,0,0.29063604240282687
2022,French Grand Prix,53,1,3,3.0,1,3,3.0,0,0.0
2022,Hungarian Grand Prix,70,0,0,,2,7,3.5,0,0.0
2022,Italian Grand Prix,53,1,8,8.0,1,3,3.0,0,0.0
2022,Japanese Grand Prix,29,1,2,2.0,0,0,,1,1.0
2022,Mexico City Grand Prix,71,0,0,,1,4,4.0,0,0.0
2022,Miami Grand Prix,57,1,7,7.0,1,1,1.0,0,0.0
2022,Monaco Grand Prix,64,2,8,4.0,0,0,,1,0.3479020979020979
2022,Saudi Arabian Grand Prix,50,1,6,6.0,1,6,6.0,0,0.0
2022,Singapore Grand Prix,59,2,9,4.5,2,9,4.5,0,0.6222222222222222
2022,Spanish Grand Prix,66,0,0,,0,0,,0,0.0
2022,São Paulo Grand Prix,71,2,13,6.5,1,2,2.0,0,0.0
2022,United States Grand Prix,56,1,9,9.0,0,0,,0,0.0
2023,Abu Dhabi Grand Prix,58,0,0,,0,0,,0,0.0
2023,Australian Grand Prix,58,4,9,2.25,1,1,1.0,3,0.0
2023,Austrian Grand Prix,71,1,3,3.0,1,4,4.0,0,0.0
2023,Azerbaijan Grand Prix,51,1,4,4.0,0,0,,0,0.0
2023,Bahrain Grand Prix,57,0,0,,1,3,3.0,0,0.0
2023,Belgian Grand Prix,44,0,0,,0,0,,0,0.0
2023,British Grand Prix,52,1,7,7.0,0,0,,0,0.0
2023,Canadian Grand Prix,70,1,5,5.0,1,2,2.0,0,0.0
2023,Dutch Grand Prix,72,2,10,5.0,1,1,1.0,1,0.24422933730454208
2023,Hungarian Grand Prix,70,0,0,,0,0,,0,0.0
2023,Italian Grand Prix,51,0,0,,0,0,,0,0.0
2023,Japanese Grand Prix,53,1,4,4.0,1,2,2.0,0,0.0
2023,Las Vegas Grand Prix,50,2,7,3.5,1,2,2.0,0,0.0
2023,Mexico City Grand Prix,71,1,4,4.0,1,2,2.0,1,0.0
2023,Miami Grand Prix,57,0,0,,0,0,,0,0.0
2023,Monaco Grand Prix,78,0,0,,0,0,,0,0.29306930693069305
2023,Qatar Grand Prix,57,1,4,4.0,0,0,,0,0.0
2023,Saudi Arabian Grand Prix,50,1,4,4.0,0,0,,0,0.0
2023,Singapore Grand Prix,62,1,4,4.0,1,3,3.0,0,0.0
2023,Spanish Grand Prix,66,0,0,,0,0,,0,0.0
2023,São Paulo Grand Prix,71,1,2,2.0,0,0,,1,0.0
2023,United States Grand Prix,56,0,0,,0,0,,0,0.0
2024,Abu Dhabi Grand Prix,58,0,0,,1,2,2.0,0,0.0
2024,Australian Grand Prix,58,0,0,,2,6,3.0,0,0.0
2024,Austrian Grand Prix,71,0,0,,1,3,3.0,0,0.0
2024,Azerbaijan Grand Prix,51,0,0,,1,3,3.0,0,0.0
2024,Bahrain Grand Prix,57,0,0,,0,0,,0,0.0
2024,Belgian Grand Prix,44,0,0,,0,0,,0,0.0
2024,British Grand Prix,52,0,0,,0,0,,0,0.24375
2024,Canadian Grand Prix,70,2,13,6.5,0,0,,0,0.6650943396226415
2024,Chinese Grand Prix,56,1,9,9.0,1,2,2.0,0,0.0
2024,Dutch Grand Prix,72,0,0,,0,0,,0,0.0
2024,Emilia Romagna Grand Prix,63,0,0,,0,0,,0,0.0
2024,Hungarian Grand Prix,70,0,0,,0,0,,0,0.0
2024,Italian Grand Prix,53,0,0,,0,0,,0,0.0
2024,Japanese Grand Prix,53,0,0,,0,0,,1,0.0
2024,Las Vegas Grand Prix,50,0,0,,0,0,,0,0.0
2024,Mexico City Grand Prix,71,1,6,6.0,0,0,,0,0.0
2024,Miami Grand Prix,57,1,5,5.0,1,2,2.0,0,0.0
2024,Monaco Grand Prix,78,1,2,2.0,0,0,,1,0.0
2024,Qatar Grand Prix,57,2,13,6.5,0,0,,0,0.0
2024,Saudi Arabian Grand Prix,50,1,4,4.0,0,0,,0,0.0
2024,Singapore Grand Prix,62,0,0,,0,0,,0,0.0
2024,Spanish Grand Prix,66,0,0,,0,0,,0,0.0
2024,São Paulo Grand Prix,69,2,9,4.5,1,1,1.0,1,1.0
2024,United States Grand Prix,56,1,4,4.0,0,0,,0,0.0
2025,Abu Dhabi Grand Prix,58,0,0,,0,0,,0,0.0
2025,Australian Grand Prix,57,3,22,7.333333333333333,0,0,,0,0.8090614886731392
2025,Austrian Grand Prix,70,1,3,3.0,0,0,,0,0.0
2025,Azerbaijan Grand Prix,51,1,4,4.0,0,0,,0,0.0
2025,Bahrain Grand Prix,57,1,4,4.0,0,0,,0,0.0
2025,Belgian Grand Prix,44,1,4,4.0,0,0,,0,0.291970802919708
2025,British Grand Prix,52,1,9,9.0,1,7,7.0,0,0.7369696969696969
2025,Canadian Grand Prix,70,1,5,5.0,0,0,,0,0.0
2025,Chinese Grand Prix,56,0,0,,0,0,,0,0.0
2025,Dutch Grand Prix,72,3,15,5.0,1,3,3.0,0,0.0
2025,Emilia Romagna Grand Prix,63,1,9,9.0,1,4,4.0,0,0.0
2025,Hungarian Grand Prix,70,0,0,,0,0,,0,0.0
2025,Italian Grand Prix,53,0,0,,0,0,,0,0.0
2025,Japanese Grand Prix,53,0,0,,0,0,,0,0.0
2025,Las Vegas Grand Prix,50,0,0,,2,5,2.5,0,0.0
2025,Mexico City Grand Prix,71,0,0,,1,4,4.0,0,0.0
2025,Miami Grand Prix,57,0,0,,2,9,4.5,0,0.0
2025,Monaco Grand Prix,78,0,0,,1,4,4.0,0,0.0
2025,Qatar Grand Prix,57,1,4,4.0,0,0,,0,0.0
2025,Saudi Arabian Grand Prix,50,1,3,3.0,0,0,,0,0.0
2025,Singapore Grand Prix,62,0,0,,0,0,,0,0.0
2025,Spanish Grand Prix,66,1,7,7.0,0,0,,0,0.0
2025,São Paulo Grand Prix,71,1,4,4.0,1,3,3.0,0,0.0
2025,United States Grand Prix,56,0,0,,1,4,4.0,0,0.0
