Team,n_attempts,n_passes,mean_advantage,n_races,pass_rate,low_confidence
Alpine,88,9,0.5202556818181802,9,0.10227272727272728,False
Aston Martin,42,5,0.6766190476190461,8,0.11904761904761904,False
Audi,121,27,0.8692892561983454,12,0.2231404958677686,False
Cadillac,19,2,0.6536315789473676,2,0.10526315789473684,False
Ferrari,59,11,0.593644067796607,7,0.1864406779661017,False
Haas F1 Team,78,12,0.47608974358974293,7,0.15384615384615385,False
McLaren,53,23,1.0765094339622643,8,0.4339622641509434,False
Mercedes,84,26,0.8516309523809553,10,0.30952380952380953,False
Racing Bulls,88,16,0.4348636363636346,9,0.18181818181818182,False
Red Bull Racing,50,21,0.9347899999999959,7,0.42,False
Williams,20,5,0.627675,5,0.25,False
