Team,n_exposed,n_passed_by,mean_advantage,n_races,passed_rate,low_confidence
Alpine,58,16,0.6132758620689645,9,0.27586206896551724,False
Aston Martin,68,28,1.2572205882352931,10,0.4117647058823529,False
Audi,84,13,0.39798809523809403,9,0.15476190476190477,False
Cadillac,59,17,1.3564491525423708,9,0.288135593220339,False
Ferrari,23,9,0.38280434782608713,6,0.391304347826087,False
Haas F1 Team,73,19,0.8167602739726022,9,0.2602739726027397,False
McLaren,47,5,0.45687234042553493,7,0.10638297872340426,False
Mercedes,59,4,0.46266101694915224,6,0.06779661016949153,False
Racing Bulls,87,19,0.597701149425285,12,0.21839080459770116,False
Red Bull Racing,30,3,0.4212166666666609,4,0.1,False
Williams,114,24,0.6470131578947358,10,0.21052631578947367,False
