Race,Round,attacker,defender,attacking_team,defending_team,start_lap,end_lap,laps_in_contact,mean_advantage,min_gap,passed,reason,censored_strict,censored_loose
Australian Grand Prix,1,ALB,ALO,Williams,Aston Martin,4,4,1,2.1154999999999973,0.76400000000001,False,dropped_back,False,True
Australian Grand Prix,1,ALB,SAI,Williams,Williams,27,29,3,0.26599999999999113,0.6900000000000546,True,pass,False,False
Australian Grand Prix,1,ANT,LIN,Mercedes,Racing Bulls,4,5,2,1.8455000000000013,0.10099999999999909,True,pass,False,False
Australian Grand Prix,1,ANT,NOR,Mercedes,McLaren,3,3,1,0.5170000000000101,0.29300000000000637,True,pass,False,False
Australian Grand Prix,1,BEA,GAS,Haas F1 Team,Alpine,7,8,2,0.5750000000000028,0.8070000000000164,False,pit,True,True
Australian Grand Prix,1,BEA,LIN,Haas F1 Team,Racing Bulls,22,32,11,0.23550000000000182,0.40500000000065484,False,neutralised,True,True
Australian Grand Prix,1,BEA,LIN,Haas F1 Team,Racing Bulls,35,38,4,0.23550000000000182,0.8360000000002401,False,dropped_back,False,True
Australian Grand Prix,1,BEA,LIN,Haas F1 Team,Racing Bulls,40,40,1,0.23550000000000182,0.18800000000010186,True,pass,False,False
Australian Grand Prix,1,BOR,ALO,Audi,Aston Martin,3,3,1,2.755499999999998,0.4240000000000066,True,pass,False,False
Australian Grand Prix,1,BOR,GAS,Audi,Alpine,4,6,3,0.5079999999999956,0.40999999999996817,False,dropped_back,False,True
Australian Grand Prix,1,BOR,GAS,Audi,Alpine,40,40,1,0.5079999999999956,0.15599999999994907,True,pass,False,False
Australian Grand Prix,1,BOR,LIN,Audi,Racing Bulls,55,57,3,0.16849999999999454,0.3459999999986394,False,race_end,True,True
Australian Grand Prix,1,BOR,OCO,Audi,Haas F1 Team,39,39,1,0.5549999999999926,0.026000000000294676,True,pass,False,False
Australian Grand Prix,1,LAW,ALB,Racing Bulls,Williams,51,57,7,0.16100000000000136,0.41299999999955617,False,race_end,True,True
Australian Grand Prix,1,LAW,ALO,Racing Bulls,Aston Martin,7,7,1,2.2764999999999986,0.4310000000001537,True,pass,False,False
Australian Grand Prix,1,LAW,COL,Racing Bulls,Alpine,3,6,4,0.45999999999999375,0.3590000000000373,False,pit,True,True
Australian Grand Prix,1,NOR,BEA,McLaren,Haas F1 Team,38,38,1,1.0929999999999893,0.39199999999937063,True,pass,False,False
Australian Grand Prix,1,NOR,LIN,McLaren,Racing Bulls,3,3,1,1.3284999999999911,0.5029999999999859,False,dropped_back,False,True
Australian Grand Prix,1,NOR,LIN,McLaren,Racing Bulls,6,8,3,1.3284999999999911,0.4199999999998454,False,pit,True,True
Australian Grand Prix,1,NOR,LIN,McLaren,Racing Bulls,39,39,1,1.3284999999999911,0.1089999999999236,True,pass,False,False
Australian Grand Prix,1,SAI,ALO,Williams,Aston Martin,6,6,1,1.8495000000000061,0.452000000000055,True,pass,False,False
Australian Grand Prix,1,VER,ALB,Red Bull Racing,Williams,4,4,1,1.7994999999999948,0.5889999999999986,True,pass,False,False
Australian Grand Prix,1,VER,ALO,Red Bull Racing,Aston Martin,5,5,1,3.914999999999992,0.5,True,pass,False,False
Australian Grand Prix,1,VER,BEA,Red Bull Racing,Haas F1 Team,6,8,3,1.092499999999987,0.3129999999998745,True,pass,False,False
Australian Grand Prix,1,VER,SAI,Red Bull Racing,Williams,3,3,1,2.065499999999986,0.36599999999998545,True,pass,False,False
Austrian Grand Prix,8,ALB,SAI,Williams,Williams,3,9,7,0.17600000000000193,0.742999999999995,False,dropped_back,False,True
Austrian Grand Prix,8,ALB,SAI,Williams,Williams,11,11,1,0.17600000000000193,1.3489999999999327,False,pit,True,True
Austrian Grand Prix,8,ALO,STR,Aston Martin,Aston Martin,38,40,3,0.2774999999999892,0.6609999999991487,False,dropped_back,False,True
Austrian Grand Prix,8,ALO,STR,Aston Martin,Aston Martin,42,42,1,0.2774999999999892,0.5039999999989959,False,pit,True,True
Austrian Grand Prix,8,ANT,LEC,Mercedes,Ferrari,3,7,5,0.26400000000001,0.478999999999985,True,pass,False,False
Austrian Grand Prix,8,ANT,LEC,Mercedes,Ferrari,29,30,2,0.26400000000001,0.5090000000004693,True,pass,False,False
Austrian Grand Prix,8,BOR,OCO,Audi,Haas F1 Team,3,7,5,0.6355000000000075,0.12500000000005684,True,pass,False,False
Austrian Grand Prix,8,COL,ALB,Alpine,Williams,3,14,12,0.5309999999999917,0.3909999999999627,False,dropped_back,False,True
Austrian Grand Prix,8,COL,ALB,Alpine,Williams,29,30,2,0.5309999999999917,0.6239999999988868,True,pass,False,False
Austrian Grand Prix,8,COL,OCO,Alpine,Haas F1 Team,52,54,3,0.2844999999999942,0.3829999999993561,True,pass,False,False
Austrian Grand Prix,8,GAS,BOR,Alpine,Audi,3,7,5,0.2289999999999992,0.4439999999999884,False,dropped_back,False,True
Austrian Grand Prix,8,GAS,OCO,Alpine,Haas F1 Team,8,10,3,0.8645000000000067,0.5069999999999482,False,pit,True,True
Austrian Grand Prix,8,HAD,LAW,Red Bull Racing,Racing Bulls,3,4,2,1.1415000000000077,0.3370000000000175,True,pass,False,False
