attacking_team,defending_team,n_attempts,n_passes,mean_advantage,pass_rate,low_confidence
Audi,Haas F1 Team,44,7,0.8064204545454549,0.1590909090909091,False
Alpine,Williams,38,3,0.5391710526315764,0.07894736842105263,False
Ferrari,Mercedes,31,0,0.33348387096773946,0.0,False
Haas F1 Team,Audi,28,1,0.32450000000000045,0.03571428571428571,False
Racing Bulls,Alpine,28,2,0.31305357142857154,0.07142857142857142,False
Racing Bulls,Audi,26,5,0.31498076923076357,0.19230769230769232,False
Audi,Williams,24,5,0.5512083333333297,0.20833333333333334,False
Aston Martin,Aston Martin,23,1,0.3469782608695636,0.043478260869565216,False
Audi,Cadillac,22,4,1.5856818181818184,0.18181818181818182,False
Mercedes,McLaren,21,2,0.46209523809524117,0.09523809523809523,False
Mercedes,Ferrari,21,7,0.3400952380952392,0.3333333333333333,False
Audi,Racing Bulls,20,3,0.31319999999999626,0.15,False
Mercedes,Mercedes,19,2,0.7105263157894797,0.10526315789473684,False
Haas F1 Team,Racing Bulls,18,2,0.2952222222222242,0.1111111111111111,False
Alpine,Audi,18,0,0.2689166666666662,0.0,False
McLaren,McLaren,17,0,0.49200000000000443,0.0,False
Aston Martin,Cadillac,16,3,1.0943437499999984,0.1875,False
Haas F1 Team,Cadillac,15,5,0.7671999999999931,0.3333333333333333,False
Red Bull Racing,Racing Bulls,14,5,0.9026071428571407,0.35714285714285715,False
Alpine,Racing Bulls,14,0,0.1529999999999916,0.0,False
Ferrari,Red Bull Racing,14,0,0.31271428571427456,0.0,False
Cadillac,Aston Martin,13,2,0.8639230769230721,0.15384615384615385,False
Williams,Williams,11,1,0.20054545454545353,0.09090909090909091,False
Racing Bulls,Red Bull Racing,11,0,0.575454545454544,0.0,False
Haas F1 Team,Williams,10,3,0.757950000000001,0.3,False
Alpine,Haas F1 Team,9,3,0.6566111111111153,0.3333333333333333,False
Red Bull Racing,Alpine,9,3,0.7654444444444408,0.3333333333333333,False
Racing Bulls,Williams,9,1,0.2565555555555584,0.1111111111111111,False
Alpine,Aston Martin,8,2,1.3771875000000051,0.25,False
McLaren,Alpine,7,4,0.8602857142857151,0.5714285714285714,True
McLaren,Racing Bulls,7,2,1.200642857142851,0.2857142857142857,True
Racing Bulls,Racing Bulls,7,2,0.6107142857142865,0.2857142857142857,True
Audi,Alpine,6,3,0.45616666666666106,0.5,True
Red Bull Racing,Haas F1 Team,6,3,0.9595833333333227,0.5,True
Cadillac,Williams,6,0,0.1980000000000075,0.0,True
Red Bull Racing,Mercedes,6,0,0.3259999999999934,0.0,True
Ferrari,McLaren,6,3,0.46400000000000335,0.5,True
Red Bull Racing,Williams,5,5,1.379899999999995,1.0,True
Williams,Aston Martin,5,4,1.8237000000000023,0.8,True
Audi,Aston Martin,5,5,2.5172999999999943,1.0,True
Mercedes,Racing Bulls,5,3,1.9188000000000016,0.6,True
McLaren,Audi,5,4,0.5785999999999973,0.8,True
McLaren,Williams,5,2,1.7381000000000029,0.4,True
Mercedes,Alpine,5,4,1.8237999999999972,0.8,True
Racing Bulls,Aston Martin,5,5,1.4639999999999957,1.0,True
McLaren,Aston Martin,4,4,3.267000000000003,1.0,True
Mercedes,Audi,4,1,1.5007500000000107,0.25,True
Williams,Haas F1 Team,4,0,0.3072499999999998,0.0,True
McLaren,Haas F1 Team,3,3,1.4763333333333293,1.0,True
Aston Martin,Williams,3,1,0.9759999999999991,0.3333333333333333,True
Red Bull Racing,McLaren,3,0,0.20699999999999363,0.0,True
Haas F1 Team,Alpine,3,0,0.6791666666666695,0.0,True
Haas F1 Team,Haas F1 Team,3,0,0.2909999999999968,0.0,True
McLaren,Mercedes,3,2,0.5009999999999953,0.6666666666666666,True
Mercedes,Red Bull Racing,3,1,0.19650000000000034,0.3333333333333333,True
Red Bull Racing,Cadillac,2,1,2.281500000000001,0.5,True
Ferrari,Aston Martin,2,2,2.490000000000009,1.0,True
Ferrari,Racing Bulls,2,2,1.6850000000000023,1.0,True
Red Bull Racing,Aston Martin,2,2,3.058499999999995,1.0,True
Red Bull Racing,Audi,2,1,0.34900000000000375,0.5,True
Racing Bulls,Haas F1 Team,2,1,0.5394999999999968,0.5,True
Mercedes,Williams,2,2,2.7307500000000005,1.0,True
Mercedes,Haas F1 Team,2,2,2.432000000000002,1.0,True
Alpine,Cadillac,1,1,1.3845000000000027,1.0,True
Ferrari,Audi,1,1,1.7210000000000036,1.0,True
Ferrari,Cadillac,1,1,3.344999999999999,1.0,True
McLaren,Cadillac,1,1,3.3474999999999966,1.0,True
McLaren,Ferrari,1,1,0.3334999999999866,1.0,True
Haas F1 Team,Red Bull Racing,1,1,0.7369999999999948,1.0,True
Ferrari,Williams,1,1,2.780000000000001,1.0,True
Ferrari,Ferrari,1,1,1.3289999999999935,1.0,True
Mercedes,Cadillac,1,1,3.4879999999999995,1.0,True
Mercedes,Aston Martin,1,1,2.0720000000000027,1.0,True
Red Bull Racing,Red Bull Racing,1,1,0.6020000000000039,1.0,True
