Team,attack,defence,trap_quali_z,trap_race_z,n_attacks,n_defences,PC1,PC2,version
Alpine,-0.5633,0.0053,-0.2425,0.4036,88,58,-0.8924,0.638,1.0.0
Aston Martin,-0.0408,-0.3095,-0.9868,-0.7701,42,68,-2.1716,-1.3697,1.0.0
Audi,0.252,-0.2151,0.0808,0.2015,121,84,-0.0523,-0.4098,1.0.0
Cadillac,-0.3313,0.3283,0.425,-0.4245,19,59,0.9848,1.2635,1.0.0
Ferrari,-0.387,-0.3814,-0.1508,-0.0256,59,23,-1.3275,0.3008,1.0.0
Haas F1 Team,0.396,-0.4231,0.1068,0.1913,78,73,-0.2769,-0.7056,1.0.0
McLaren,0.3591,0.0723,-0.0005,-0.1698,53,47,0.4721,-0.5818,1.0.0
Mercedes,0.6158,0.7749,0.3829,-0.0551,84,59,2.6577,-0.2194,1.0.0
Racing Bulls,0.0265,0.0469,-0.1864,0.1305,88,87,-0.1763,-0.2736,1.0.0
Red Bull Racing,0.6684,0.2635,0.3562,0.4092,50,30,1.6833,-0.5549,1.0.0
Williams,-0.9953,-0.1619,0.2155,0.0948,20,114,-0.9009,1.9127,1.0.0
