Race,pass_rate,raw_rate,pass_rate_near,mean_gap_near,chances_near,chances,close_laps,threshold,scale,n_seasons,rate_index,overtake_difficulty
Japanese Grand Prix,0.35294117647058826,0.23076923076923078,0.4444444444444444,0.5927500000000158,36,17.0,60.0,1.6634106419790768,0.8058638131638453,3,1.8823529411764708,1
Abu Dhabi Grand Prix,0.31513002364066195,0.13799515654731015,0.3452914798206278,0.7034484304933165,223,74.5,225.0,1.1148504580217984,0.5627056560727456,4,1.6806934594168637,1
Saudi Arabian Grand Prix,0.3081232492997199,0.12794365012615644,0.3412698412698413,0.580031746031953,126,33.0,140.5,2.098063673857934,1.459558301845478,4,1.643323996265173,1
São Paulo Grand Prix,0.27586206896551724,0.14859437751004015,0.3953488372093023,0.45454069767449384,172,78.0,249.0,0.9666752014933528,0.4518504465033588,3,1.471264367816092,1
United States Grand Prix,0.2537739698082415,0.15063649222065062,0.30337078651685395,0.6007584269663204,178,58.5,135.0,1.9545348830601765,1.0151104138983185,4,1.3534611723106214,1
Las Vegas Grand Prix,0.21978021978021978,0.11737089201877934,0.2462686567164179,0.582708955223815,134,83.0,178.0,1.3557518939595186,0.5154168982131478,3,1.1721611721611722,2
Italian Grand Prix,0.21948529411764706,0.08242595818815332,0.2714285714285714,0.5507809523809977,210,75.0,255.5,1.0124428093854942,0.3942063418613831,4,1.1705882352941177,2
Belgian Grand Prix,0.21911764705882353,0.1505392156862745,0.22297297297297297,0.6237905405405146,148,46.5,143.0,2.2298680739034067,1.0808665098584502,4,1.1686274509803922,2
Australian Grand Prix,0.2,0.056,0.18705035971223022,0.574079136690433,139,59.0,178.0,1.6713152076282916,0.6885124238962328,3,1.0666666666666667,2
Austrian Grand Prix,0.19734634741497636,0.08154656646035957,0.26288659793814434,0.6026494845361224,194,71.5,245.5,1.4674713600278873,0.6617811258174546,4,1.0525138528798739,2
Mexico City Grand Prix,0.19471153846153846,0.10097569325573434,0.2909090909090909,0.6724136363636765,220,90.0,249.5,1.2534045800155023,0.4448252966190731,4,1.0384615384615385,3
Chinese Grand Prix,0.19436813186813187,0.08720347477447377,0.21951219512195122,0.6421585365854329,82,54.0,155.0,1.3134511438977734,0.46017262122081015,2,1.0366300366300367,3
French Grand Prix,0.17777777777777778,0.06880733944954129,0.19444444444444445,0.652166666666625,36,45.0,218.0,1.4615808161219215,0.4048329225786604,1,0.9481481481481482,3
Miami Grand Prix,0.17271662763466042,0.08639236251176549,0.21311475409836064,0.5844754098361291,244,85.5,278.0,2.92665465095393,1.4327685500498766,4,0.9211553473848556,3
Singapore Grand Prix,0.17216923453167032,0.07338335119685602,0.1893491124260355,0.6391005917161644,169,67.0,277.5,1.4050665023256141,0.5154167424923529,4,0.9182359175022418,3
Azerbaijan Grand Prix,0.16868279569892475,0.09824625502374863,0.21678321678321677,0.5467552447554028,143,51.5,119.5,1.4856737848377706,0.4718191052857787,4,0.899641577060932,4
Spanish Grand Prix,0.1580946814728229,0.11158705434406369,0.2932692307692308,0.6677211538461605,208,86.5,210.0,2.409639278943751,1.2215396369926808,4,0.8431716345217222,4
Bahrain Grand Prix,0.14806412583182094,0.08357512013781848,0.24022346368715083,0.6346145251395572,179,59.0,180.0,2.602396859488513,1.2845224877299057,4,0.7896753377697117,4
Dutch Grand Prix,0.14538339980434944,0.06207362518305097,0.17080745341614906,0.5053850931677155,322,98.5,299.5,2.357299739528935,0.9681824114247897,4,0.7753781322898637,4
British Grand Prix,0.140625,0.08520179372197309,0.2222222222222222,0.6334814814811056,108,53.0,223.0,1.192637361334676,0.4451319154062807,3,0.75,4
Emilia Romagna Grand Prix,0.13333333333333333,0.0938337801608579,0.18627450980392157,0.6399215686276218,204,76.0,230.0,1.2459955501082882,0.37901900153106594,3,0.7111111111111111,5
Qatar Grand Prix,0.11538461538461539,0.04419889502762431,0.12389380530973451,0.6672123893805353,113,50.0,181.0,2.0021659892821715,0.5100185182403408,3,0.6153846153846154,5
Hungarian Grand Prix,0.11214625945643038,0.059306742640075974,0.17940199335548174,0.64640199335547,301,86.0,205.5,6.538499384811988,3.138046521420368,4,0.5981133837676287,5
Canadian Grand Prix,0.07125603864734299,0.056273809523809525,0.1078167115902965,0.5412668463610789,371,115.0,344.0,1.686445660365521,0.5131672866651741,4,0.3800322061191626,5
Monaco Grand Prix,0.02072649572649573,0.00966738008829885,0.030434782608695653,0.6352347826088989,230,71.0,311.0,1.5921879956008431,0.2949936423549512,4,0.11054131054131056,5
