Season,Race,close_laps,chances,passes,passes_when_faster,raw_rate,pass_rate
2022,Abu Dhabi Grand Prix,204,59,33,23,0.16176470588235295,0.3898305084745763
2022,Australian Grand Prix,250,101,14,10,0.056,0.09900990099009901
2022,Austrian Grand Prix,316,79,31,15,0.0981012658227848,0.189873417721519
2022,Azerbaijan Grand Prix,119,62,12,8,0.10084033613445378,0.12903225806451613
2022,Bahrain Grand Prix,161,63,21,19,0.13043478260869565,0.30158730158730157
2022,Belgian Grand Prix,50,15,8,4,0.16,0.26666666666666666
2022,British Grand Prix,111,46,16,12,0.14414414414414414,0.2608695652173913
2022,Canadian Grand Prix,336,115,19,10,0.05654761904761905,0.08695652173913043
2022,Dutch Grand Prix,261,69,8,3,0.03065134099616858,0.043478260869565216
2022,Emilia Romagna Grand Prix,172,60,21,8,0.12209302325581395,0.13333333333333333
2022,French Grand Prix,218,45,15,8,0.06880733944954129,0.17777777777777778
2022,Hungarian Grand Prix,187,89,27,18,0.1443850267379679,0.20224719101123595
2022,Italian Grand Prix,224,80,26,22,0.11607142857142858,0.275
2022,Mexico City Grand Prix,229,40,14,4,0.0611353711790393,0.1
2022,Miami Grand Prix,222,56,24,12,0.10810810810810811,0.21428571428571427
2022,Monaco Grand Prix,142,50,14,7,0.09859154929577464,0.14
2022,Saudi Arabian Grand Prix,117,34,11,8,0.09401709401709402,0.23529411764705882
2022,Singapore Grand Prix,45,15,4,3,0.08888888888888889,0.2
2022,Spanish Grand Prix,124,75,24,19,0.1935483870967742,0.25333333333333335
2022,São Paulo Grand Prix,249,87,37,24,0.14859437751004015,0.27586206896551724
2022,United States Grand Prix,137,60,29,19,0.2116788321167883,0.31666666666666665
2023,Abu Dhabi Grand Prix,246,90,33,28,0.13414634146341464,0.3111111111111111
2023,Australian Grand Prix,178,59,24,18,0.1348314606741573,0.3050847457627119
2023,Austrian Grand Prix,234,83,19,17,0.0811965811965812,0.20481927710843373
2023,Azerbaijan Grand Prix,89,27,3,3,0.033707865168539325,0.1111111111111111
2023,Bahrain Grand Prix,164,60,14,7,0.08536585365853659,0.11666666666666667
2023,Belgian Grand Prix,136,85,21,16,0.15441176470588236,0.18823529411764706
2023,British Grand Prix,318,53,14,6,0.0440251572327044,0.11320754716981132
2023,Canadian Grand Prix,352,115,13,6,0.036931818181818184,0.05217391304347826
2023,Dutch Grand Prix,239,100,33,21,0.13807531380753138,0.21
2023,Hungarian Grand Prix,162,63,8,6,0.04938271604938271,0.09523809523809523
2023,Italian Grand Prix,287,34,14,6,0.04878048780487805,0.17647058823529413
2023,Japanese Grand Prix,39,17,9,6,0.23076923076923078,0.35294117647058826
2023,Las Vegas Grand Prix,42,23,11,10,0.2619047619047619,0.43478260869565216
2023,Mexico City Grand Prix,345,104,33,21,0.09565217391304348,0.20192307692307693
2023,Miami Grand Prix,334,110,41,25,0.12275449101796407,0.22727272727272727
2023,Monaco Grand Prix,309,52,4,1,0.012944983818770227,0.019230769230769232
2023,Qatar Grand Prix,119,40,11,7,0.09243697478991597,0.175
2023,Saudi Arabian Grand Prix,203,82,21,15,0.10344827586206896,0.18292682926829268
2023,Singapore Grand Prix,350,87,41,17,0.11714285714285715,0.19540229885057472
2023,Spanish Grand Prix,216,118,26,19,0.12037037037037036,0.16101694915254236
2023,São Paulo Grand Prix,219,78,39,32,0.1780821917808219,0.41025641025641024
2023,United States Grand Prix,133,57,19,17,0.14285714285714285,0.2982456140350877
2024,Abu Dhabi Grand Prix,141,47,20,15,0.14184397163120568,0.3191489361702128
2024,Australian Grand Prix,120,20,6,4,0.05,0.2
2024,Austrian Grand Prix,257,64,17,12,0.06614785992217899,0.1875
2024,Azerbaijan Grand Prix,230,72,22,15,0.09565217391304348,0.20833333333333334
2024,Bahrain Grand Prix,196,57,15,10,0.07653061224489796,0.17543859649122806
2024,Belgian Grand Prix,191,57,11,5,0.05759162303664921,0.08771929824561403
2024,British Grand Prix,223,64,19,9,0.08520179372197309,0.140625
2024,Canadian Grand Prix,250,108,14,6,0.056,0.05555555555555555
2024,Chinese Grand Prix,146,52,13,10,0.08904109589041095,0.19230769230769232
2024,Dutch Grand Prix,338,97,27,19,0.07988165680473373,0.1958762886597938
2024,Emilia Romagna Grand Prix,230,76,18,9,0.0782608695652174,0.11842105263157894
2024,Hungarian Grand Prix,224,83,11,8,0.049107142857142856,0.0963855421686747
2024,Italian Grand Prix,190,80,23,21,0.12105263157894737,0.2625
2024,Japanese Grand Prix,60,11,18,8,0.3,0.7272727272727273
2024,Las Vegas Grand Prix,213,91,25,20,0.11737089201877934,0.21978021978021978
2024,Mexico City Grand Prix,254,112,27,21,0.1062992125984252,0.1875
2024,Miami Grand Prix,337,110,12,8,0.03560830860534125,0.07272727272727272
2024,Monaco Grand Prix,313,90,2,2,0.006389776357827476,0.022222222222222223
2024,Qatar Grand Prix,181,52,8,6,0.04419889502762431,0.11538461538461539
2024,Saudi Arabian Grand Prix,164,21,25,8,0.1524390243902439,0.38095238095238093
2024,Singapore Grand Prix,244,47,12,7,0.04918032786885246,0.14893617021276595
2024,Spanish Grand Prix,214,98,22,15,0.102803738317757,0.15306122448979592
2024,United States Grand Prix,101,43,16,9,0.15841584158415842,0.20930232558139536
2025,Abu Dhabi Grand Prix,370,125,46,24,0.12432432432432433,0.192
2025,Austrian Grand Prix,232,48,19,10,0.08189655172413793,0.20833333333333334
2025,Azerbaijan Grand Prix,120,41,18,9,0.15,0.21951219512195122
2025,Bahrain Grand Prix,269,58,22,7,0.08178438661710037,0.1206896551724138
2025,Belgian Grand Prix,150,36,22,9,0.14666666666666667,0.25
2025,Canadian Grand Prix,370,123,23,20,0.062162162162162166,0.16260162601626016
2025,Chinese Grand Prix,164,56,14,11,0.08536585365853659,0.19642857142857142
2025,Dutch Grand Prix,497,137,22,13,0.04426559356136821,0.0948905109489051
2025,Emilia Romagna Grand Prix,373,138,35,21,0.0938337801608579,0.15217391304347827
2025,Hungarian Grand Prix,390,172,27,22,0.06923076923076923,0.12790697674418605
2025,Italian Grand Prix,309,70,14,10,0.045307443365695796,0.14285714285714285
2025,Japanese Grand Prix,301,56,6,3,0.019933554817275746,0.05357142857142857
2025,Las Vegas Grand Prix,178,83,15,10,0.08426966292134831,0.12048192771084337
2025,Mexico City Grand Prix,245,76,29,20,0.11836734693877551,0.2631578947368421
2025,Miami Grand Prix,201,61,13,8,0.06467661691542288,0.13114754098360656
2025,Monaco Grand Prix,459,131,2,0,0.004357298474945534,0.0
2025,Qatar Grand Prix,307,50,2,1,0.006514657980456026,0.02
2025,Saudi Arabian Grand Prix,88,32,18,15,0.20454545454545456,0.46875
2025,Singapore Grand Prix,311,100,18,7,0.05787781350482315,0.07
2025,Spanish Grand Prix,206,58,21,9,0.10194174757281553,0.15517241379310345
2025,São Paulo Grand Prix,277,76,26,18,0.09386281588447654,0.23684210526315788
2025,United States Grand Prix,217,92,18,12,0.08294930875576037,0.13043478260869565
