n_stops,strategy,sequence,stint_laps,est_cost,est_cost_curve,within_windows,cost_vs_best,cost_vs_best_curve,Race
1,S-M,SOFT-MEDIUM,24-34,109.1,86.3,False,6.6,37.1,Abu Dhabi Grand Prix
1,S-H,SOFT-HARD,18-40,133.5,73.3,True,31.0,24.1,Abu Dhabi Grand Prix
1,M-S,MEDIUM-SOFT,34-24,109.1,86.3,False,6.6,37.1,Abu Dhabi Grand Prix
1,M-H,MEDIUM-HARD,22-36,118.4,49.2,True,15.9,0.0,Abu Dhabi Grand Prix
1,H-S,HARD-SOFT,40-18,133.5,73.3,True,31.0,24.1,Abu Dhabi Grand Prix
1,H-M,HARD-MEDIUM,36-22,118.4,49.2,True,15.9,0.0,Abu Dhabi Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,17-17-24,109.1,92.2,True,6.6,43.0,Abu Dhabi Grand Prix
2,S-S-H,SOFT-SOFT-HARD,14-14-31,127.5,89.8,True,25.0,40.6,Abu Dhabi Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,17-24-17,109.1,92.2,True,6.6,43.0,Abu Dhabi Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,15-21-21,102.5,67.9,True,0.0,18.7,Abu Dhabi Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,12-17-28,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,S-H-S,SOFT-HARD-SOFT,14-31-14,127.5,89.8,True,25.0,40.6,Abu Dhabi Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,12-28-17,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,S-H-H,SOFT-HARD-HARD,11-24-24,125.4,80.1,True,22.9,30.9,Abu Dhabi Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,24-17-17,109.1,92.2,True,6.6,43.0,Abu Dhabi Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,21-15-21,102.5,67.9,True,0.0,18.7,Abu Dhabi Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,17-12-28,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,21-21-15,102.5,67.9,True,0.0,18.7,Abu Dhabi Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,16-16-26,110.2,64.6,True,7.7,15.4,Abu Dhabi Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,17-28-12,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,16-26-16,110.2,64.6,True,7.7,15.4,Abu Dhabi Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,14-22-22,117.3,71.9,True,14.8,22.7,Abu Dhabi Grand Prix
2,H-S-S,HARD-SOFT-SOFT,31-14-14,127.5,89.8,True,25.0,40.6,Abu Dhabi Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,28-12-17,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,H-S-H,HARD-SOFT-HARD,24-11-24,125.4,80.1,True,22.9,30.9,Abu Dhabi Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,28-17-12,118.3,73.6,True,15.8,24.4,Abu Dhabi Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,26-16-16,110.2,64.6,True,7.7,15.4,Abu Dhabi Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,22-14-22,117.3,71.9,True,14.8,22.7,Abu Dhabi Grand Prix
2,H-H-S,HARD-HARD-SOFT,24-24-11,125.4,80.1,True,22.9,30.9,Abu Dhabi Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,22-22-14,117.3,71.9,True,14.8,22.7,Abu Dhabi Grand Prix
1,S-M,SOFT-MEDIUM,20-38,72.5,89.6,False,0.0,38.8,Australian Grand Prix
1,S-H,SOFT-HARD,11-47,109.1,54.9,False,36.6,4.1,Australian Grand Prix
1,M-S,MEDIUM-SOFT,38-20,72.5,89.6,False,0.0,38.8,Australian Grand Prix
1,M-H,MEDIUM-HARD,18-40,93.4,50.8,True,20.9,0.0,Australian Grand Prix
1,H-S,HARD-SOFT,47-11,109.1,54.9,False,36.6,4.1,Australian Grand Prix
1,H-M,HARD-MEDIUM,40-18,93.4,50.8,True,20.9,0.0,Australian Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,15-15-28,77.0,87.6,False,4.5,36.8,Australian Grand Prix
2,S-S-H,SOFT-SOFT-HARD,9-9-39,109.5,70.2,True,37.0,19.4,Australian Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,15-28-15,77.0,87.6,False,4.5,36.8,Australian Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,12-23-23,74.8,78.1,False,2.3,27.3,Australian Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,8-16-34,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,S-H-S,SOFT-HARD-SOFT,9-39-9,109.5,70.2,True,37.0,19.4,Australian Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,8-34-16,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,S-H-H,SOFT-HARD-HARD,6-26-26,106.1,69.9,True,33.6,19.1,Australian Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,28-15-15,77.0,87.6,False,4.5,36.8,Australian Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,23-12-23,74.8,78.1,False,2.3,27.3,Australian Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,16-8-34,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,23-23-12,74.8,78.1,False,2.3,27.3,Australian Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,14-14-30,92.1,64.9,True,19.6,14.1,Australian Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,16-34-8,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,14-30-14,92.1,64.9,True,19.6,14.1,Australian Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,11-24-24,99.0,68.0,True,26.5,17.2,Australian Grand Prix
2,H-S-S,HARD-SOFT-SOFT,39-9-9,109.5,70.2,True,37.0,19.4,Australian Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,34-8-16,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,H-S-H,HARD-SOFT-HARD,26-6-26,106.1,69.9,True,33.6,19.1,Australian Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,34-16-8,99.7,67.9,True,27.2,17.1,Australian Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,30-14-14,92.1,64.9,True,19.6,14.1,Australian Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,24-11-24,99.0,68.0,True,26.5,17.2,Australian Grand Prix
2,H-H-S,HARD-HARD-SOFT,26-26-6,106.1,69.9,True,33.6,19.1,Australian Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,24-24-11,99.0,68.0,True,26.5,17.2,Australian Grand Prix
1,S-M,SOFT-MEDIUM,26-45,93.1,72.5,False,8.8,0.0,Austrian Grand Prix
1,S-H,SOFT-HARD,21-50,104.7,84.5,False,20.4,12.0,Austrian Grand Prix
1,M-S,MEDIUM-SOFT,45-26,93.1,72.5,False,8.8,0.0,Austrian Grand Prix
1,M-H,MEDIUM-HARD,30-41,99.1,86.0,False,14.8,13.5,Austrian Grand Prix
1,H-S,HARD-SOFT,50-21,104.7,84.5,False,20.4,12.0,Austrian Grand Prix
1,H-M,HARD-MEDIUM,41-30,99.1,86.0,False,14.8,13.5,Austrian Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,19-19-33,84.3,75.5,False,0.0,3.0,Austrian Grand Prix
2,S-S-H,SOFT-SOFT-HARD,16-16-39,94.4,85.0,True,10.1,12.5,Austrian Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,19-33-19,84.3,75.5,False,0.0,3.0,Austrian Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,16-28-28,89.5,82.5,True,5.2,10.0,Austrian Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,14-24-33,94.8,85.4,True,10.5,12.9,Austrian Grand Prix
2,S-H-S,SOFT-HARD-SOFT,16-39-16,94.4,85.0,True,10.1,12.5,Austrian Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,14-33-24,94.8,85.4,True,10.5,12.9,Austrian Grand Prix
