Race,race_laps,modal_stops,max_stops,upper_bound,pit_loss,compounds,off_SOFT,off_MEDIUM,off_HARD,window_SOFT,window_MEDIUM,window_HARD,n_seasons
Abu Dhabi Grand Prix,58,1,2,2,23.427999999999997,SOFT-MEDIUM-HARD,0.33345565371166924,0.0,0.4259443181610318,"(8, 17)","(14, 21)","(22, 34)",4
Australian Grand Prix,58,1,3,2,20.924999999999983,SOFT-MEDIUM-HARD,0.05397352339643634,0.0,0.514998084207972,"(6, 8)","(8, 19)","(19, 39)",3
Austrian Grand Prix,71,2,3,3,21.533750000000005,SOFT-MEDIUM-HARD,-0.2955535411971514,0.0,0.0635111356920424,"(10, 12)","(13, 26)","(23, 30)",4
Azerbaijan Grand Prix,51,1,3,2,22.905000000000015,MEDIUM-HARD,-0.5645266495941674,0.0,0.3271797921445707,,"(10, 17)","(24, 40)",4
Bahrain Grand Prix,57,2,5,3,24.858000000000004,SOFT-MEDIUM-HARD,-0.2680538147547996,0.0,0.01958753500391049,"(11, 16)","(14, 22)","(16, 24)",4
Belgian Grand Prix,44,2,3,3,19.211000000000013,SOFT-MEDIUM-HARD,-0.07571808043548335,0.0,0.34781244781910026,"(9, 19)","(11, 16)","(15, 19)",3
British Grand Prix,52,1,3,2,34.41900000000001,SOFT-MEDIUM-HARD,-0.20302431209535612,0.0,-0.10367548541740662,"(13, 20)","(19, 32)","(10, 21)",2
Canadian Grand Prix,70,2,2,3,20.956999999999994,MEDIUM-HARD,-0.08816745032151102,0.0,0.08765254896472505,,"(12, 19)","(24, 37)",3
Chinese Grand Prix,56,1,4,2,24.91900000000001,SOFT-MEDIUM-HARD,0.1142181922610169,0.0,0.18605012433080642,"(9, 15)","(11, 16)","(16, 36)",2
Dutch Grand Prix,72,2,4,3,23.954499999999996,SOFT-MEDIUM-HARD,-0.39717905397328523,0.0,-0.15904308493214137,"(13, 19)","(18, 28)","(20, 40)",3
Emilia Romagna Grand Prix,63,1,3,2,28.85900000000001,SOFT-MEDIUM-HARD,0.4287491669728101,0.0,0.16055779468078565,,"(12, 27)","(18, 34)",2
French Grand Prix,53,1,2,2,29.164,MEDIUM-HARD,,0.0,0.5003544077953446,,"(16, 18)","(18, 35)",1
Hungarian Grand Prix,70,2,3,3,21.39875,SOFT-MEDIUM-HARD,0.10019325353345328,0.0,-0.11681542244830825,"(13, 17)","(18, 28)","(24, 33)",4
Italian Grand Prix,53,1,3,2,25.625749999999982,SOFT-MEDIUM-HARD,-0.4742166565529558,0.0,-0.044523371338254014,"(6, 18)","(15, 24)","(20, 34)",4
Japanese Grand Prix,53,2,3,3,23.400000000000006,SOFT-MEDIUM-HARD,-0.1818726731282298,0.0,0.1594547519949251,"(8, 14)","(15, 22)","(17, 29)",3
Las Vegas Grand Prix,50,1,2,2,23.53749999999998,SOFT-MEDIUM-HARD,0.6561527558785727,0.0,0.08231326233959019,"(4, 7)","(11, 20)","(18, 26)",3
Mexico City Grand Prix,71,1,3,2,23.23399999999998,SOFT-MEDIUM-HARD,0.1269918199666177,0.0,0.441550324826131,"(23, 30)","(24, 37)","(14, 41)",4
Miami Grand Prix,57,1,2,2,22.340750000000007,SOFT-MEDIUM-HARD,0.1196966330901726,0.0,-0.04946522947203313,"(5, 16)","(14, 25)","(24, 40)",4
Monaco Grand Prix,78,1,2,2,19.630499999999984,SOFT-MEDIUM-HARD,0.5424160280112585,0.0,-0.22932916565444,"(7, 23)","(14, 47)","(26, 65)",2
Qatar Grand Prix,57,2,3,3,29.278000000000006,SOFT-MEDIUM-HARD,0.15460405732752744,0.0,0.0213035681960498,"(7, 17)","(13, 25)","(13, 20)",3
Saudi Arabian Grand Prix,50,1,3,2,22.223999999999982,SOFT-MEDIUM-HARD,0.11289001904682745,0.0,0.5355692299172967,"(8, 14)","(10, 19)","(29, 39)",4
Singapore Grand Prix,62,1,2,2,30.290999999999997,SOFT-MEDIUM-HARD,-0.2597494986712674,0.0,0.2944398524868242,"(13, 20)","(20, 29)","(26, 41)",3
Spanish Grand Prix,66,2,4,3,22.918749999999996,SOFT-MEDIUM-HARD,-0.2161413254101783,0.0,0.29669587831419886,"(11, 19)","(19, 26)","(22, 30)",4
São Paulo Grand Prix,71,2,3,3,22.730000000000018,SOFT-MEDIUM-HARD,-0.12760432337058822,0.0,-0.08681554925928994,"(17, 24)","(19, 27)","(8, 20)",3
United States Grand Prix,56,1,2,2,21.488499999999988,SOFT-MEDIUM-HARD,0.2200239337172624,0.0,0.36554824354358895,"(22, 26)","(14, 26)","(19, 28)",4
