Season,Round,Race,Driver,Team,quali_pos,quali_time,pole_time
2023,19,Mexico City Grand Prix,LEC,Ferrari,1.0,77.166,77.166
2023,19,Mexico City Grand Prix,SAI,Ferrari,2.0,77.233,77.166
2023,19,Mexico City Grand Prix,VER,Red Bull Racing,3.0,77.263,77.166
2023,19,Mexico City Grand Prix,RIC,AlphaTauri,4.0,77.382,77.166
2023,19,Mexico City Grand Prix,PER,Red Bull Racing,5.0,77.423,77.166
2023,19,Mexico City Grand Prix,HAM,Mercedes,6.0,77.454,77.166
2023,19,Mexico City Grand Prix,PIA,McLaren,7.0,77.623,77.166
2023,19,Mexico City Grand Prix,RUS,Mercedes,8.0,77.674,77.166
2023,19,Mexico City Grand Prix,BOT,Alfa Romeo,9.0,78.032,77.166
2023,19,Mexico City Grand Prix,ZHO,Alfa Romeo,10.0,78.05,77.166
2023,19,Mexico City Grand Prix,GAS,Alpine,11.0,78.521,77.166
2023,19,Mexico City Grand Prix,HUL,Haas F1 Team,12.0,78.524,77.166
2023,19,Mexico City Grand Prix,ALO,Aston Martin,13.0,78.738,77.166
2023,19,Mexico City Grand Prix,ALB,Williams,14.0,79.147,77.166
2023,19,Mexico City Grand Prix,TSU,AlphaTauri,15.0,78.89,77.166
2023,19,Mexico City Grand Prix,OCO,Alpine,16.0,79.08,77.166
2023,19,Mexico City Grand Prix,MAG,Haas F1 Team,17.0,79.163,77.166
2023,19,Mexico City Grand Prix,STR,Aston Martin,18.0,79.227,77.166
2023,19,Mexico City Grand Prix,NOR,McLaren,19.0,81.554,77.166
2023,19,Mexico City Grand Prix,SAR,Williams,20.0,,77.166
2023,20,São Paulo Grand Prix,VER,Red Bull Racing,1.0,70.727,70.33
2023,20,São Paulo Grand Prix,LEC,Ferrari,2.0,71.021,70.33
2023,20,São Paulo Grand Prix,STR,Aston Martin,3.0,71.344,70.33
2023,20,São Paulo Grand Prix,ALO,Aston Martin,4.0,71.387,70.33
2023,20,São Paulo Grand Prix,HAM,Mercedes,5.0,71.469,70.33
2023,20,São Paulo Grand Prix,RUS,Mercedes,6.0,71.59,70.33
2023,20,São Paulo Grand Prix,NOR,McLaren,7.0,71.987,70.33
2023,20,São Paulo Grand Prix,SAI,Ferrari,8.0,71.989,70.33
2023,20,São Paulo Grand Prix,PER,Red Bull Racing,9.0,72.321,70.33
2023,20,São Paulo Grand Prix,PIA,McLaren,10.0,70.33,70.33
2023,20,São Paulo Grand Prix,HUL,Haas F1 Team,11.0,70.547,70.33
2023,20,São Paulo Grand Prix,OCO,Alpine,12.0,70.562,70.33
2023,20,São Paulo Grand Prix,GAS,Alpine,13.0,70.567,70.33
2023,20,São Paulo Grand Prix,MAG,Haas F1 Team,14.0,70.723,70.33
