Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Season,Race,RoundNumber
VET,Ferrari,3.0,1.0,1,Finished,25.0,2018,Australian Grand Prix,1
HAM,Mercedes,1.0,2.0,2,Finished,18.0,2018,Australian Grand Prix,1
RAI,Ferrari,2.0,3.0,3,Finished,15.0,2018,Australian Grand Prix,1
RIC,Red Bull Racing,8.0,4.0,4,Finished,12.0,2018,Australian Grand Prix,1
ALO,McLaren,10.0,5.0,5,Finished,10.0,2018,Australian Grand Prix,1
VER,Red Bull Racing,4.0,6.0,6,Finished,8.0,2018,Australian Grand Prix,1
HUL,Renault,7.0,7.0,7,Finished,6.0,2018,Australian Grand Prix,1
BOT,Mercedes,15.0,8.0,8,Finished,4.0,2018,Australian Grand Prix,1
VAN,McLaren,11.0,9.0,9,Finished,2.0,2018,Australian Grand Prix,1
SAI,Renault,9.0,10.0,10,Finished,1.0,2018,Australian Grand Prix,1
PER,Force India,12.0,11.0,11,Finished,0.0,2018,Australian Grand Prix,1
OCO,Force India,14.0,12.0,12,Finished,0.0,2018,Australian Grand Prix,1
LEC,Sauber,18.0,13.0,13,Finished,0.0,2018,Australian Grand Prix,1
STR,Williams,13.0,14.0,14,Finished,0.0,2018,Australian Grand Prix,1
HAR,Toro Rosso,16.0,15.0,15,+1 Lap,0.0,2018,Australian Grand Prix,1
GRO,Haas F1 Team,6.0,16.0,R,Wheel,0.0,2018,Australian Grand Prix,1
MAG,Haas F1 Team,5.0,17.0,R,Wheel,0.0,2018,Australian Grand Prix,1
GAS,Toro Rosso,20.0,18.0,R,Engine,0.0,2018,Australian Grand Prix,1
ERI,Sauber,17.0,19.0,R,Steering,0.0,2018,Australian Grand Prix,1
SIR,Williams,19.0,20.0,R,Brakes,0.0,2018,Australian Grand Prix,1
VET,Ferrari,1.0,1.0,1,Finished,25.0,2018,Bahrain Grand Prix,2
BOT,Mercedes,3.0,2.0,2,Finished,18.0,2018,Bahrain Grand Prix,2
HAM,Mercedes,9.0,3.0,3,Finished,15.0,2018,Bahrain Grand Prix,2
GAS,Toro Rosso,5.0,4.0,4,Finished,12.0,2018,Bahrain Grand Prix,2
MAG,Haas F1 Team,6.0,5.0,5,Finished,10.0,2018,Bahrain Grand Prix,2
HUL,Renault,7.0,6.0,6,Finished,8.0,2018,Bahrain Grand Prix,2
ALO,McLaren,13.0,7.0,7,+1 Lap,6.0,2018,Bahrain Grand Prix,2
VAN,McLaren,14.0,8.0,8,+1 Lap,4.0,2018,Bahrain Grand Prix,2
ERI,Sauber,17.0,9.0,9,+1 Lap,2.0,2018,Bahrain Grand Prix,2
OCO,Force India,8.0,10.0,10,+1 Lap,1.0,2018,Bahrain Grand Prix,2
SAI,Renault,10.0,11.0,11,+1 Lap,0.0,2018,Bahrain Grand Prix,2
LEC,Sauber,19.0,12.0,12,+1 Lap,0.0,2018,Bahrain Grand Prix,2
GRO,Haas F1 Team,16.0,13.0,13,+1 Lap,0.0,2018,Bahrain Grand Prix,2
STR,Williams,20.0,14.0,14,+1 Lap,0.0,2018,Bahrain Grand Prix,2
SIR,Williams,18.0,15.0,15,+1 Lap,0.0,2018,Bahrain Grand Prix,2
PER,Force India,12.0,16.0,16,+1 Lap,0.0,2018,Bahrain Grand Prix,2
HAR,Toro Rosso,11.0,17.0,17,+1 Lap,0.0,2018,Bahrain Grand Prix,2
RAI,Ferrari,2.0,18.0,R,Wheel,0.0,2018,Bahrain Grand Prix,2
VER,Red Bull Racing,15.0,19.0,R,Puncture,0.0,2018,Bahrain Grand Prix,2
RIC,Red Bull Racing,4.0,20.0,R,Electrical,0.0,2018,Bahrain Grand Prix,2
RIC,Red Bull Racing,6.0,1.0,1,Finished,25.0,2018,Chinese Grand Prix,3
BOT,Mercedes,3.0,2.0,2,Finished,18.0,2018,Chinese Grand Prix,3
RAI,Ferrari,2.0,3.0,3,Finished,15.0,2018,Chinese Grand Prix,3
HAM,Mercedes,4.0,4.0,4,Finished,12.0,2018,Chinese Grand Prix,3
VER,Red Bull Racing,5.0,5.0,5,Finished,10.0,2018,Chinese Grand Prix,3
HUL,Renault,7.0,6.0,6,Finished,8.0,2018,Chinese Grand Prix,3
ALO,McLaren,13.0,7.0,7,Finished,6.0,2018,Chinese Grand Prix,3
VET,Ferrari,1.0,8.0,8,Finished,4.0,2018,Chinese Grand Prix,3
SAI,Renault,9.0,9.0,9,Finished,2.0,2018,Chinese Grand Prix,3
MAG,Haas F1 Team,11.0,10.0,10,Finished,1.0,2018,Chinese Grand Prix,3
OCO,Force India,12.0,11.0,11,Finished,0.0,2018,Chinese Grand Prix,3
PER,Force India,8.0,12.0,12,Finished,0.0,2018,Chinese Grand Prix,3
VAN,McLaren,14.0,13.0,13,Finished,0.0,2018,Chinese Grand Prix,3
STR,Williams,18.0,14.0,14,Finished,0.0,2018,Chinese Grand Prix,3
SIR,Williams,16.0,15.0,15,Finished,0.0,2018,Chinese Grand Prix,3
ERI,Sauber,20.0,16.0,16,Finished,0.0,2018,Chinese Grand Prix,3
GRO,Haas F1 Team,10.0,17.0,17,Finished,0.0,2018,Chinese Grand Prix,3
GAS,Toro Rosso,17.0,18.0,18,Finished,0.0,2018,Chinese Grand Prix,3
LEC,Sauber,19.0,19.0,19,Finished,0.0,2018,Chinese Grand Prix,3
HAR,Toro Rosso,15.0,20.0,20,Collision damage,0.0,2018,Chinese Grand Prix,3
HAM,Mercedes,2.0,1.0,1,Finished,25.0,2018,Azerbaijan Grand Prix,4
RAI,Ferrari,6.0,2.0,2,Finished,18.0,2018,Azerbaijan Grand Prix,4
PER,Force India,8.0,3.0,3,Finished,15.0,2018,Azerbaijan Grand Prix,4
VET,Ferrari,1.0,4.0,4,Finished,12.0,2018,Azerbaijan Grand Prix,4
SAI,Renault,9.0,5.0,5,Finished,10.0,2018,Azerbaijan Grand Prix,4
LEC,Sauber,13.0,6.0,6,Finished,8.0,2018,Azerbaijan Grand Prix,4
ALO,McLaren,12.0,7.0,7,Finished,6.0,2018,Azerbaijan Grand Prix,4
STR,Williams,10.0,8.0,8,Finished,4.0,2018,Azerbaijan Grand Prix,4
