Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,1,Bahrain Grand Prix,VER,2.0,2.0,2.0,2.0,0.0,20
2022,1,Bahrain Grand Prix,GAS,10.0,8.0,10.0,8.0,2.0,20
2022,1,Bahrain Grand Prix,PER,4.0,6.0,4.0,6.0,-2.0,20
2022,1,Bahrain Grand Prix,ALO,8.0,9.0,8.0,9.0,-1.0,20
2022,1,Bahrain Grand Prix,LEC,1.0,1.0,1.0,1.0,0.0,20
2022,1,Bahrain Grand Prix,STR,19.0,17.0,19.0,17.0,2.0,20
2022,1,Bahrain Grand Prix,MAG,7.0,5.0,7.0,5.0,2.0,20
2022,1,Bahrain Grand Prix,TSU,16.0,12.0,16.0,12.0,4.0,20
2022,1,Bahrain Grand Prix,ALB,14.0,11.0,14.0,11.0,3.0,20
2022,1,Bahrain Grand Prix,ZHO,15.0,19.0,15.0,19.0,-4.0,20
2022,1,Bahrain Grand Prix,HUL,17.0,15.0,17.0,15.0,2.0,20
2022,1,Bahrain Grand Prix,RIC,18.0,20.0,18.0,20.0,-2.0,20
2022,1,Bahrain Grand Prix,OCO,11.0,10.0,11.0,10.0,1.0,20
2022,1,Bahrain Grand Prix,NOR,13.0,16.0,13.0,16.0,-3.0,20
2022,1,Bahrain Grand Prix,HAM,5.0,4.0,5.0,4.0,1.0,20
2022,1,Bahrain Grand Prix,MSC,12.0,13.0,12.0,13.0,-1.0,20
2022,1,Bahrain Grand Prix,SAI,3.0,3.0,3.0,3.0,0.0,20
2022,1,Bahrain Grand Prix,LAT,20.0,18.0,20.0,18.0,2.0,20
2022,1,Bahrain Grand Prix,RUS,9.0,7.0,9.0,7.0,2.0,20
2022,1,Bahrain Grand Prix,BOT,6.0,14.0,6.0,14.0,-8.0,20
2022,2,Saudi Arabian Grand Prix,VER,4.0,3.0,4.0,3.0,1.0,18
2022,2,Saudi Arabian Grand Prix,GAS,9.0,10.0,9.0,10.0,-1.0,18
2022,2,Saudi Arabian Grand Prix,PER,1.0,1.0,1.0,1.0,0.0,18
2022,2,Saudi Arabian Grand Prix,ALO,7.0,7.0,7.0,7.0,0.0,18
2022,2,Saudi Arabian Grand Prix,LEC,2.0,2.0,2.0,2.0,0.0,18
2022,2,Saudi Arabian Grand Prix,STR,13.0,12.0,13.0,12.0,1.0,18
2022,2,Saudi Arabian Grand Prix,MAG,10.0,9.0,10.0,9.0,1.0,18
