slot,n,held,gained,lost,mean_change,sd_change,p10,p90,thin
1,72,0.7777777777777778,0.0,0.2222222222222222,-0.3333333333333333,0.712068994916312,-1.0,0.0,False
2,71,0.5633802816901409,0.18309859154929578,0.2535211267605634,-0.38028169014084506,2.1802109805055805,-1.0,1.0,False
3,71,0.43661971830985913,0.2535211267605634,0.30985915492957744,-0.16901408450704225,1.0554066987653585,-1.0,1.0,False
4,71,0.38028169014084506,0.30985915492957744,0.30985915492957744,-0.18309859154929578,1.5612253352042755,-2.0,1.0,False
5,71,0.39436619718309857,0.352112676056338,0.2535211267605634,-0.08450704225352113,1.7050050596761077,-2.0,1.0,False
6,71,0.323943661971831,0.323943661971831,0.352112676056338,-0.2676056338028169,1.6471425168530347,-2.0,1.0,False
7,71,0.36619718309859156,0.38028169014084506,0.2535211267605634,-0.028169014084507043,1.5396830006383548,-2.0,2.0,False
8,71,0.352112676056338,0.28169014084507044,0.36619718309859156,-0.4647887323943662,2.1832543593419236,-3.0,2.0,False
9,71,0.323943661971831,0.30985915492957744,0.36619718309859156,-0.352112676056338,1.8055358646538449,-3.0,1.0,False
10,71,0.2535211267605634,0.4084507042253521,0.3380281690140845,-0.2676056338028169,2.2100920890889415,-2.0,2.0,False
11,71,0.29577464788732394,0.4225352112676056,0.28169014084507044,-0.056338028169014086,2.0968501816068374,-3.0,2.0,False
12,71,0.28169014084507044,0.352112676056338,0.36619718309859156,-0.352112676056338,2.2621013716662137,-2.0,2.0,False
13,70,0.18571428571428572,0.4714285714285714,0.34285714285714286,0.11428571428571428,2.3807370503042775,-3.0999999999999996,3.0,False
14,68,0.20588235294117646,0.4264705882352941,0.36764705882352944,-0.1323529411764706,2.0362711880261064,-3.0,2.0,False
15,68,0.25,0.38235294117647056,0.36764705882352944,0.11764705882352941,2.1056385691806345,-2.0,3.0,False
16,68,0.27941176470588236,0.4264705882352941,0.29411764705882354,0.47058823529411764,1.9353011893735994,-2.0,3.0,False
17,67,0.23880597014925373,0.5522388059701493,0.208955223880597,0.7611940298507462,1.5867782514761652,-1.0,2.3999999999999986,False
18,57,0.2631578947368421,0.5087719298245614,0.22807017543859648,0.7543859649122807,2.0025046972870353,-1.3999999999999995,3.0,False
19,40,0.325,0.625,0.05,1.125,1.399404635312222,0.0,3.0,False
20,22,0.4090909090909091,0.5909090909090909,0.0,1.4090909090909092,1.9188064472004935,0.0,4.700000000000006,True
