Team,Race,Round,affinity_quali,n_reference,cars,affinity_race,affinity,shrinkage,raced_2026,source,version
Red Bull Racing,Australian Grand Prix,1,2.6364,11,1,0.5271,1.4946,0.5669,True,quali x shrinkage,1.0.0
Aston Martin,Australian Grand Prix,1,1.7727,11,1,-1.5638,1.005,0.5669,True,quali x shrinkage,1.0.0
Haas F1 Team,Australian Grand Prix,1,1.4545,11,2,4.0726,0.8246,0.5669,True,quali x shrinkage,1.0.0
Racing Bulls,Australian Grand Prix,1,1.0909,11,2,-1.6547,0.6184,0.5669,True,quali x shrinkage,1.0.0
Audi,Australian Grand Prix,1,0.4091,11,2,1.8907,0.2319,0.5669,True,quali x shrinkage,1.0.0
Cadillac,Australian Grand Prix,1,0.0455,11,2,-0.2911,0.0258,0.5669,True,quali x shrinkage,1.0.0
Mercedes,Australian Grand Prix,1,-0.4091,11,2,1.5271,-0.2319,0.5669,True,quali x shrinkage,1.0.0
Williams,Australian Grand Prix,1,-0.4091,11,1,0.0726,-0.2319,0.5669,True,quali x shrinkage,1.0.0
McLaren,Australian Grand Prix,1,-1.9545,11,2,-1.068,-1.108,0.5669,True,quali x shrinkage,1.0.0
Ferrari,Australian Grand Prix,1,-2.6818,11,2,0.1635,-1.5203,0.5669,True,quali x shrinkage,1.0.0
Alpine,Australian Grand Prix,1,-4.4545,11,2,-2.4274,-2.5253,0.5669,True,quali x shrinkage,1.0.0
Ferrari,Austrian Grand Prix,8,2.2273,11,2,-1.3936,1.2626,0.5669,True,quali x shrinkage,1.0.0
Racing Bulls,Austrian Grand Prix,8,1.6364,11,2,1.1519,0.9277,0.5669,True,quali x shrinkage,1.0.0
Haas F1 Team,Austrian Grand Prix,8,1.4545,11,2,-0.7572,0.8246,0.5669,True,quali x shrinkage,1.0.0
Cadillac,Austrian Grand Prix,8,0.5909,11,2,-3.4845,0.335,0.5669,True,quali x shrinkage,1.0.0
Red Bull Racing,Austrian Grand Prix,8,0.4545,11,2,3.8792,0.2577,0.5669,True,quali x shrinkage,1.0.0
Mercedes,Austrian Grand Prix,8,0.1364,11,2,2.6974,0.0773,0.5669,True,quali x shrinkage,1.0.0
Audi,Austrian Grand Prix,8,-0.6818,11,2,0.8792,-0.3865,0.5669,True,quali x shrinkage,1.0.0
Alpine,Austrian Grand Prix,8,-1.1818,11,2,-2.8936,-0.67,0.5669,True,quali x shrinkage,1.0.0
