Team,Race,affinity,n_samples,spread,seasons
AlphaTauri,Abu Dhabi Grand Prix,1.3394636035421998,4,5.701190476190476,"2022,2022,2023,2023"
Aston Martin,Abu Dhabi Grand Prix,1.2421349137787447,7,7.661877394636016,"2022,2022,2023,2023,2024,2025,2025"
Kick Sauber,Abu Dhabi Grand Prix,1.0399999999999991,2,2.0,"2025,2025"
Ferrari,Abu Dhabi Grand Prix,0.7681633452999004,7,5.427506775067751,"2022,2022,2023,2024,2024,2025,2025"
Haas F1 Team,Abu Dhabi Grand Prix,0.5083319752959993,6,7.872549019607842,"2022,2022,2023,2024,2025,2025"
McLaren,Abu Dhabi Grand Prix,0.2881315302915977,8,9.28368794326241,"2022,2022,2023,2023,2024,2024,2025,2025"
Alpine,Abu Dhabi Grand Prix,-0.581955910503428,4,6.170138888888889,"2022,2023,2023,2024"
Red Bull Racing,Abu Dhabi Grand Prix,-0.7086811144811747,7,13.0,"2022,2022,2023,2023,2024,2025,2025"
Mercedes,Abu Dhabi Grand Prix,-1.6573837923877894,7,11.766367137355584,"2022,2023,2023,2024,2024,2025,2025"
Alfa Romeo,Abu Dhabi Grand Prix,-3.1321805673939553,3,3.9772727272727284,"2022,2022,2023"
Williams,Abu Dhabi Grand Prix,-3.719862547196271,5,7.44876660341556,"2022,2023,2023,2025,2025"
Williams,Australian Grand Prix,3.109676125272775,3,6.55123339658444,"2022,2022,2025"
Aston Martin,Australian Grand Prix,2.9459192534183845,6,5.768602540834847,"2022,2023,2023,2024,2024,2025"
Alfa Romeo,Australian Grand Prix,2.2001459408807307,4,3.0227272727272716,"2022,2022,2023,2023"
Mercedes,Australian Grand Prix,2.152001717068877,5,2.9127086007702188,"2022,2022,2023,2025,2025"
Red Bull Racing,Australian Grand Prix,1.1472547073056152,5,6.8711694809255786,"2022,2023,2023,2024,2025"
AlphaTauri,Australian Grand Prix,0.961799024560897,3,6.0,"2022,2022,2023"
Haas F1 Team,Australian Grand Prix,-0.15228257636867892,6,8.5,"2022,2022,2023,2024,2025,2025"
McLaren,Australian Grand Prix,-0.15264529315383954,8,11.155038759689923,"2022,2022,2023,2023,2024,2024,2025,2025"
Alpine,Australian Grand Prix,-0.6859045661920695,3,10.467836257309942,"2022,2022,2025"
Ferrari,Australian Grand Prix,-1.2817410552523938,6,9.508397932816537,"2022,2023,2024,2024,2025,2025"
Haas F1 Team,Austrian Grand Prix,4.62962962962963,4,4.555555555555555,"2022,2022,2024,2024"
McLaren,Austrian Grand Prix,1.6316911248964454,6,2.488372093023256,"2022,2022,2023,2024,2025,2025"
Williams,Austrian Grand Prix,1.426396314207598,2,1.0294117647058822,"2022,2023"
Mercedes,Austrian Grand Prix,0.879458932030571,7,6.9914320685434515,"2022,2022,2023,2023,2024,2024,2025"
Ferrari,Austrian Grand Prix,0.5043096884933477,7,10.491602067183463,"2022,2023,2023,2024,2024,2025,2025"
Red Bull Racing,Austrian Grand Prix,-0.6524246642569853,5,4.257035647279549,"2022,2023,2023,2024,2024"
Alpine,Austrian Grand Prix,-0.8533712327813054,5,5.722222222222221,"2022,2022,2023,2024,2024"
Alfa Romeo,Austrian Grand Prix,-1.1060606060606055,2,3.0,"2022,2022"
Aston Martin,Austrian Grand Prix,-1.6732834747164098,4,8.10672514619883,"2022,2022,2023,2023"
AlphaTauri,Austrian Grand Prix,-3.2428571428571424,2,1.0,"2022,2022"
AlphaTauri,Azerbaijan Grand Prix,2.7191583374416117,3,8.0,"2022,2022,2023"
Racing Bulls,Azerbaijan Grand Prix,2.6428571428571423,2,5.0,"2025,2025"
Red Bull Racing,Azerbaijan Grand Prix,1.5704700932304836,7,6.128205128205128,"2022,2022,2023,2023,2024,2025,2025"
Williams,Azerbaijan Grand Prix,1.5227687831469074,8,10.580645161290322,"2022,2022,2023,2023,2024,2024,2025,2025"
Mercedes,Azerbaijan Grand Prix,0.758027487511047,8,7.242200794100964,"2022,2022,2023,2023,2024,2024,2025,2025"
Ferrari,Azerbaijan Grand Prix,-0.7163775493496626,5,5.427506775067751,"2023,2023,2024,2025,2025"
Haas F1 Team,Azerbaijan Grand Prix,-0.8384148705440287,6,3.571895424836603,"2022,2023,2024,2024,2025,2025"
McLaren,Azerbaijan Grand Prix,-0.9706792483608312,7,7.871350816427511,"2022,2022,2023,2023,2024,2024,2025"
Aston Martin,Azerbaijan Grand Prix,-1.2348153160441357,6,11.231397459165153,"2022,2023,2023,2024,2025,2025"
Kick Sauber,Azerbaijan Grand Prix,-2.007404922108281,3,5.0,"2024,2025,2025"
Alpine,Azerbaijan Grand Prix,-3.0662450327232658,5,6.892361111111111,"2022,2022,2023,2023,2024"
Alfa Romeo,Bahrain Grand Prix,3.817566900911878,3,4.0,"2022,2022,2023"
