Race,track_mult,n_seasons,spread,seasons
Bahrain Grand Prix,2.0320134658317976,2,1.3116706568789307,"2022,2023"
São Paulo Grand Prix,1.8001358942931522,1,0.0,2022
Belgian Grand Prix,1.6628795762722481,2,0.2257896112148574,"2022,2023"
Austrian Grand Prix,1.6020042838892932,1,0.0,2023
Spanish Grand Prix,1.573921016083862,2,1.2700620376788918,"2022,2023"
Dutch Grand Prix,1.497246516406859,1,0.0,2022
Hungarian Grand Prix,1.4940766794970608,2,0.6120271319062396,"2022,2023"
Abu Dhabi Grand Prix,1.4848185506863294,1,0.0,2022
Japanese Grand Prix,1.3609057949932981,1,0.0,2023
Mexico City Grand Prix,1.0092185251269121,1,0.0,2022
Canadian Grand Prix,0.9719735780155468,2,0.04784409502205589,"2022,2023"
French Grand Prix,0.9206910206207907,1,0.0,2022
Italian Grand Prix,0.8902714710382644,2,0.5843559444575955,"2022,2023"
United States Grand Prix,0.47851791302535873,1,0.0,2022
Singapore Grand Prix,0.33647937576515335,1,0.0,2023
Miami Grand Prix,0.049017754489411806,2,0.33116376242295964,"2022,2023"
Azerbaijan Grand Prix,-0.022754567392166632,2,0.5619972890582993,"2022,2023"
British Grand Prix,-0.027688654814132796,2,0.23800206689250514,"2022,2023"
Australian Grand Prix,-0.22093059802146278,2,0.06371804905273903,"2022,2023"
Saudi Arabian Grand Prix,-0.5847406804790343,2,0.06700485309620863,"2022,2023"
