Race,deg_mult,deg_pct,evo_rate,n_seasons,deg_spread,seasons
Bahrain Grand Prix,2.330997564953818,0.12092552301562925,0.02528811676404172,4,0.8388003615604407,"2022,2023,2024,2025"
Belgian Grand Prix,1.9767977433584987,0.11480425801015928,0.04618052413378291,3,2.0033893285432236,"2022,2023,2024"
Spanish Grand Prix,1.8732609942595602,0.09655211381632889,0.011449602948742156,4,1.5922065184479668,"2022,2023,2024,2025"
Austrian Grand Prix,1.612936088382059,0.08398310036234048,-0.012627316024741951,4,0.3324663539477246,"2022,2023,2024,2025"
Japanese Grand Prix,1.580517719388058,0.08640942663221626,0.030220068117153824,3,1.3530065873845585,"2023,2024,2025"
São Paulo Grand Prix,1.5492186680704232,0.07676734843872163,-0.028746052061863467,3,0.6030160031563023,"2022,2023,2025"
Hungarian Grand Prix,1.3611359460154666,0.07142121420624511,0.01306424968517938,4,0.46316727235801647,"2022,2023,2024,2025"
Emilia Romagna Grand Prix,1.2892010109944407,0.06304048853773424,-0.029271892705365787,2,0.2895465583899215,"2024,2025"
French Grand Prix,1.2753000712697604,0.07030133312635321,-0.011417617852883684,1,0.0,2022
Chinese Grand Prix,1.2566600818170113,0.06507400669663267,0.043007893173867315,2,0.9280981240086672,"2024,2025"
Abu Dhabi Grand Prix,1.1585739775415007,0.0667136588673632,0.0039879860139997335,3,0.03263484014101414,"2022,2023,2024"
Mexico City Grand Prix,1.0830938220681856,0.054775345858652784,0.0004362175427213622,4,0.9437211215351282,"2022,2023,2024,2025"
Dutch Grand Prix,0.9810668687402739,0.04982036227798848,-0.0005696965350877014,3,0.19225203089605836,"2022,2024,2025"
Singapore Grand Prix,0.9431276930570436,0.0487687625615905,-0.0019149709070325717,3,0.48592391456717376,"2023,2024,2025"
Miami Grand Prix,0.928113919831848,0.04396486190968365,0.020609929247982873,4,1.8115606374464672,"2022,2023,2024,2025"
United States Grand Prix,0.9119807369971932,0.04735525281396198,0.04061319351131002,4,0.4447153025859337,"2022,2023,2024,2025"
Las Vegas Grand Prix,0.8132721472154638,0.046167746454955284,0.07211701191146734,2,1.4189437119747357,"2023,2024"
Italian Grand Prix,0.7754865314729861,0.04255256107172303,0.040441226714990584,4,0.760969540396319,"2022,2023,2024,2025"
Monaco Grand Prix,0.7746648154841518,0.037520488960908684,0.024511708322851804,2,0.29411075915238893,"2024,2025"
Canadian Grand Prix,0.6624124055470422,0.03319305816114793,-0.006441104231706962,3,0.16036496558808933,"2022,2023,2025"
Australian Grand Prix,0.505773078712792,0.02920329878427981,0.022216226375874414,3,1.2300572362162097,"2022,2023,2024"
Azerbaijan Grand Prix,0.42555185016004293,0.02252039790697729,0.08061216023316381,4,0.4354921481194271,"2022,2023,2024,2025"
British Grand Prix,0.3819823022617419,0.02251790999421609,0.04231662102363217,2,0.19895538026937631,"2022,2023"
Saudi Arabian Grand Prix,0.2852428082310291,0.01264465261429508,0.031160749608226356,4,1.0216556087890218,"2022,2023,2024,2025"
Qatar Grand Prix,-0.1921260683171698,-0.010198801947169829,0.08555152297732127,2,1.1247944276668713,"2023,2024"
