Season,Race,Compound,k,k_points,max_age,n_bins,n_stints
2022,Abu Dhabi Grand Prix,HARD,0.05356886664240664,4,38.0,13,22
2022,Abu Dhabi Grand Prix,MEDIUM,0.08214837160941134,4,26.0,9,25
2022,Abu Dhabi Grand Prix,SOFT,0.08489532234433164,4,14.0,5,3
2022,Australian Grand Prix,HARD,0.008897307298915835,4,41.0,14,9
2022,Austrian Grand Prix,HARD,0.0790177722118304,4,29.0,10,23
2022,Austrian Grand Prix,MEDIUM,0.059778064404373076,4,26.0,9,17
2022,Azerbaijan Grand Prix,HARD,0.08320282417780783,4,38.0,13,23
2022,Azerbaijan Grand Prix,MEDIUM,0.055060485466537225,4,17.0,6,7
2022,Bahrain Grand Prix,HARD,0.1428519659743619,4,17.0,6,6
2022,Bahrain Grand Prix,MEDIUM,0.13573776600281498,4,20.0,7,16
2022,Bahrain Grand Prix,SOFT,0.1900458543695921,4,17.0,6,16
2022,Belgian Grand Prix,HARD,0.16345814219215726,4,17.0,6,14
2022,Belgian Grand Prix,MEDIUM,0.1616555907144188,4,17.0,6,16
2022,Belgian Grand Prix,SOFT,0.28050638608581574,4,14.0,5,3
2022,British Grand Prix,HARD,0.04090404369333052,4,23.0,8,8
2022,British Grand Prix,MEDIUM,0.013949224770072646,4,32.0,11,12
2022,British Grand Prix,SOFT,0.0,4,17.0,6,11
2022,Canadian Grand Prix,HARD,0.01599564273201586,4,47.0,16,23
2022,Canadian Grand Prix,MEDIUM,0.0,4,26.0,9,10
2022,Dutch Grand Prix,HARD,0.03591806333322582,4,35.0,12,7
2022,Dutch Grand Prix,MEDIUM,0.06232755083456616,4,29.0,10,19
2022,Dutch Grand Prix,SOFT,0.026854766468446797,4,17.0,6,5
2022,Emilia Romagna Grand Prix,MEDIUM,0.0,4,44.0,15,15
2022,French Grand Prix,HARD,0.0,4,35.0,12,18
2022,French Grand Prix,MEDIUM,0.030948722470992503,4,23.0,8,16
2022,Hungarian Grand Prix,HARD,0.041545883070439035,4,41.0,14,9
2022,Hungarian Grand Prix,MEDIUM,0.07547746055490724,4,29.0,10,30
2022,Hungarian Grand Prix,SOFT,0.021225198977430096,4,17.0,6,10
2022,Italian Grand Prix,HARD,0.033022862559821196,4,29.0,10,10
2022,Italian Grand Prix,MEDIUM,0.0,4,32.0,11,16
2022,Italian Grand Prix,SOFT,3.7670673730712716e-05,4,23.0,8,7
2022,Mexico City Grand Prix,HARD,0.04429336039986354,4,38.0,13,7
2022,Mexico City Grand Prix,MEDIUM,0.0001842539738348033,4,47.0,16,19
2022,Mexico City Grand Prix,SOFT,0.05170120905769457,4,32.0,11,11
2022,Miami Grand Prix,HARD,0.014249532261140436,4,41.0,14,18
2022,Miami Grand Prix,MEDIUM,0.04277702514232965,4,26.0,9,13
2022,Monaco Grand Prix,MEDIUM,0.0,4,35.0,12,8
2022,Saudi Arabian Grand Prix,HARD,0.0,4,38.0,12,4
2022,Saudi Arabian Grand Prix,MEDIUM,0.016174344958256044,4,14.0,5,14
2022,Singapore Grand Prix,SOFT,0.0,3,20.0,6,3
2022,Spanish Grand Prix,MEDIUM,0.13258191279752654,4,26.0,9,24
2022,Spanish Grand Prix,SOFT,0.10579527592577016,4,20.0,7,8
2022,São Paulo Grand Prix,MEDIUM,0.06598395594907938,4,23.0,8,20
2022,São Paulo Grand Prix,SOFT,0.06433769166940802,4,29.0,10,7
2022,United States Grand Prix,HARD,0.0708535376043943,4,32.0,11,14
2022,United States Grand Prix,MEDIUM,0.11056106349029991,4,20.0,7,13
2023,Abu Dhabi Grand Prix,HARD,0.03729979820180942,4,35.0,12,36
2023,Abu Dhabi Grand Prix,MEDIUM,0.056423482480043474,4,20.0,7,18
2023,Australian Grand Prix,HARD,0.0,4,44.0,15,12
2023,Austrian Grand Prix,HARD,0.032483153993654326,4,32.0,11,27
2023,Austrian Grand Prix,MEDIUM,0.05080051294500867,4,32.0,11,16
2023,Azerbaijan Grand Prix,HARD,0.053371403927387734,4,44.0,15,14
2023,Bahrain Grand Prix,HARD,0.09378409855829138,4,26.0,9,27
2023,Bahrain Grand Prix,SOFT,0.13671487310861066,4,17.0,6,10
2023,Belgian Grand Prix,MEDIUM,0.18071018666285293,4,20.0,7,17
2023,Belgian Grand Prix,SOFT,0.11545610329037179,4,23.0,8,14
2023,British Grand Prix,HARD,0.05496737724545784,4,26.0,9,5
2023,British Grand Prix,MEDIUM,0.04976544705284307,4,32.0,11,16
2023,British Grand Prix,SOFT,0.058011718539348826,4,23.0,8,4
2023,Canadian Grand Prix,HARD,0.02101137182439912,4,38.0,13,15
2023,Canadian Grand Prix,MEDIUM,0.016929483115220523,4,32.0,11,8
2023,Dutch Grand Prix,MEDIUM,0.03150151188799418,4,23.0,8,4
2023,Dutch Grand Prix,SOFT,0.04577275196874076,4,38.0,13,21
2023,Hungarian Grand Prix,HARD,0.06908925569003171,4,32.0,11,10
2023,Hungarian Grand Prix,MEDIUM,0.02189385696296142,4,20.0,7,7
2023,Italian Grand Prix,HARD,0.060029102896836634,4,29.0,10,4
2023,Italian Grand Prix,MEDIUM,0.049092239775261476,4,23.0,8,15
2023,Japanese Grand Prix,HARD,0.1024878470745061,4,26.0,9,21
2023,Japanese Grand Prix,MEDIUM,0.11174573502502208,4,17.0,6,6
2023,Las Vegas Grand Prix,HARD,0.0,4,32.0,11,19
2023,Mexico City Grand Prix,HARD,0.010487749366666327,4,35.0,12,7
