Race,Compound,status,source,b1,b2,tau,gamma,max_age,usable_limit,median_stop,nocliff_stop,cliff_reason,reason,notes
70th Anniversary Grand Prix,SOFT,ok,medium-copy,0.00811,0.0,,,12.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone; cliff at 12 sits past the cap, dropped"
70th Anniversary Grand Prix,MEDIUM,ok,legacy-era,0.00811,0.0,12.0,0.01433,20.0,20.0,16.0,40.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
70th Anniversary Grand Prix,HARD,ok,legacy-era,0.0,0.0,11.0,0.00349,27.0,27.0,20.0,54.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Abu Dhabi Grand Prix,SOFT,ok,measured,0.0,0.011994,,,22.0,22.0,14.0,14.0,the tyre is used to 22 and the cliff-free curve already stops at 14 - the measured wear explains the stint length on its own,,
Abu Dhabi Grand Prix,MEDIUM,ok,order-clipped,0.01164,0.000349,,,25.0,25.0,18.0,22.0,the tyre is used to 25 and the cliff-free curve already stops at 22 - the measured wear explains the stint length on its own,,scaled to 0.23 so it does not exceed SOFT at this circuit
Abu Dhabi Grand Prix,HARD,ok,order-clipped,0.01199,0.0,,,41.0,41.0,35.0,33.0,the tyre is used to 41 and the cliff-free curve already stops at 33 - the measured wear explains the stint length on its own,,scaled to 0.27 so it does not exceed MEDIUM at this circuit
Australian Grand Prix,SOFT,ok,legacy-era,0.09789,0.0,,,25.0,25.0,21.0,21.0,the tyre is used to 25 and the cliff-free curve already stops at 21 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Australian Grand Prix,MEDIUM,ok,order-clipped,0.02201,0.003035,,,25.0,25.0,20.0,18.0,the tyre is used to 25 and the cliff-free curve already stops at 18 - the measured wear explains the stint length on its own,,scaled to 0.78 so it does not exceed SOFT at this circuit
Australian Grand Prix,HARD,ok,measured,0.0,0.0,19.0,0.00079,45.0,45.0,45.0,90.0,measured,,
Austrian Grand Prix,SOFT,ok,panel-wear,0.06005,0.0,,,13.0,,,,no stage-1 curve,,wear from the compound_scaling panel (no soft profile); the stint profile cannot see this compound here
Austrian Grand Prix,MEDIUM,ok,measured,0.05389,0.0,,,28.0,28.0,23.0,28.0,the tyre is used to 28 and the cliff-free curve already stops at 28 - the measured wear explains the stint length on its own,,
Austrian Grand Prix,HARD,ok,order-clipped,0.04745,0.00023,,,32.0,32.0,30.0,27.0,the tyre is used to 32 and the cliff-free curve already stops at 27 - the measured wear explains the stint length on its own,,scaled to 0.98 so it does not exceed MEDIUM at this circuit
Azerbaijan Grand Prix,SOFT,ok,panel-wear,0.06676,0.0,,,15.0,,,,no stage-1 curve,,wear from the compound_scaling panel (no soft profile); the stint profile cannot see this compound here
Azerbaijan Grand Prix,MEDIUM,ok,order-clipped,0.0,0.004451,,,25.0,25.0,18.0,16.0,the tyre is used to 25 and the cliff-free curve already stops at 16 - the measured wear explains the stint length on its own,,scaled to 0.52 so it does not exceed SOFT at this circuit
Azerbaijan Grand Prix,HARD,ok,order-clipped,0.00445,0.0,,,47.0,47.0,36.0,28.0,the tyre is used to 47 and the cliff-free curve already stops at 28 - the measured wear explains the stint length on its own,,scaled to 0.07 so it does not exceed MEDIUM at this circuit
Bahrain Grand Prix,SOFT,ok,medium-copy,0.11782,0.0,,,14.0,20.0,15.0,21.0,the tyre is used to 20 and the cliff-free curve already stops at 21 - the measured wear explains the stint length on its own,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Bahrain Grand Prix,MEDIUM,ok,measured,0.11782,0.0,,,23.0,23.0,19.0,21.0,the tyre is used to 23 and the cliff-free curve already stops at 21 - the measured wear explains the stint length on its own,,
Bahrain Grand Prix,HARD,ok,measured,0.09962,0.000193,,,27.0,27.0,21.0,22.0,the tyre is used to 27 and the cliff-free curve already stops at 22 - the measured wear explains the stint length on its own,,
Belgian Grand Prix,SOFT,ok,measured,0.15226,0.0,,,24.0,24.0,24.0,16.0,the tyre is used to 24 and the cliff-free curve already stops at 16 - the measured wear explains the stint length on its own,,
Belgian Grand Prix,MEDIUM,ok,measured,0.05284,0.0,12.0,0.0005,25.0,25.0,16.0,27.0,measured,,
Belgian Grand Prix,HARD,ok,order-clipped,0.05284,0.0,,,25.0,25.0,20.0,22.0,the tyre is used to 25 and the cliff-free curve already stops at 22 - the measured wear explains the stint length on its own,,scaled to 0.67 so it does not exceed MEDIUM at this circuit
Brazilian Grand Prix,SOFT,ok,legacy-era,0.03213,0.0,23.0,0.00066,34.0,34.0,25.0,37.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Brazilian Grand Prix,MEDIUM,ok,legacy-era,0.02813,0.0,14.0,6e-05,38.0,38.0,25.0,40.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Brazilian Grand Prix,HARD,ok,legacy-era,0.02813,0.0,,,50.0,50.0,46.0,37.0,the tyre is used to 50 and the cliff-free curve already stops at 37 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure; scaled to 0.88 so it does not exceed MEDIUM at this circuit
British Grand Prix,SOFT,ok,measured,0.0,0.003022,16.0,0.01086,22.0,22.0,19.0,26.0,measured,,
British Grand Prix,MEDIUM,ok,order-clipped,0.00302,0.0,13.0,0.00044,25.0,25.0,23.0,41.0,measured,,scaled to 0.07 so it does not exceed SOFT at this circuit
British Grand Prix,HARD,ok,order-clipped,0.00302,0.0,13.0,0.00037,25.0,25.0,,39.0,measured,,scaled to 0.07 so it does not exceed MEDIUM at this circuit
Canadian Grand Prix,SOFT,ok,medium-copy,0.0,0.001589,,,18.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Canadian Grand Prix,MEDIUM,ok,measured,0.0,0.001589,,,29.0,29.0,17.0,27.0,the tyre is used to 29 and the cliff-free curve already stops at 27 - the measured wear explains the stint length on its own,,
Canadian Grand Prix,HARD,ok,order-clipped,0.00159,0.0,,,53.0,53.0,39.0,44.0,the tyre is used to 53 and the cliff-free curve already stops at 44 - the measured wear explains the stint length on its own,,scaled to 0.07 so it does not exceed MEDIUM at this circuit
Chinese Grand Prix,SOFT,ok,medium-copy,0.1267,0.0,,,13.0,13.0,17.0,25.0,only 8 pit decisions,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 13); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Chinese Grand Prix,MEDIUM,ok,measured,0.1267,0.0,,,22.0,22.0,18.0,20.0,the tyre is used to 22 and the cliff-free curve already stops at 20 - the measured wear explains the stint length on its own,,
Chinese Grand Prix,HARD,ok,measured,0.05521,0.0,,,43.0,43.0,,30.0,the tyre is used to 43 and the cliff-free curve already stops at 30 - the measured wear explains the stint length on its own,,
Dutch Grand Prix,SOFT,ok,panel-wear,0.05841,0.0,,,18.0,29.0,25.0,49.0,measured,,wear from the compound_scaling panel (measures kinder than MEDIUM at age 15); the stint profile cannot see this compound here
Dutch Grand Prix,MEDIUM,ok,measured,0.02658,0.000714,,,29.0,29.0,24.0,29.0,the tyre is used to 29 and the cliff-free curve already stops at 29 - the measured wear explains the stint length on its own,,
Dutch Grand Prix,HARD,ok,order-clipped,0.02729,0.0,,,49.0,49.0,38.0,35.0,the tyre is used to 49 and the cliff-free curve already stops at 35 - the measured wear explains the stint length on its own,,scaled to 0.69 so it does not exceed MEDIUM at this circuit
Eifel Grand Prix,SOFT,ok,medium-copy,0.0,0.001558,,,17.0,27.0,27.0,54.0,measured,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Eifel Grand Prix,MEDIUM,ok,legacy-era,0.0,0.001558,,,28.0,28.0,26.0,27.0,the tyre is used to 28 and the cliff-free curve already stops at 27 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Eifel Grand Prix,HARD,ok,legacy-era,0.00156,0.0,,,30.0,30.0,25.0,30.0,only 3 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure; scaled to 0.03 so it does not exceed MEDIUM at this circuit
Emilia Romagna Grand Prix,SOFT,ok,panel-wear,0.06584,0.0,,,11.0,,,,no stage-1 curve,,wear from the compound_scaling panel (no soft profile); the stint profile cannot see this compound here
Emilia Romagna Grand Prix,MEDIUM,ok,measured,0.0,0.0,22.0,0.00165,43.0,43.0,30.0,86.0,measured,,
Emilia Romagna Grand Prix,HARD,ok,order-clipped,0.0,0.0,,,48.0,48.0,33.0,50.0,measured,,scaled to 0.00 so it does not exceed MEDIUM at this circuit
French Grand Prix,SOFT,ok,medium-copy,0.03239,0.0,13.0,0.01095,14.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
