Race,Compound,k,k_std,n_seasons,n_profiles,n_stints,median_r2
Abu Dhabi Grand Prix,HARD,0.04299917341810698,0.008549449877152176,4,4,101,1.0
Abu Dhabi Grand Prix,MEDIUM,0.06928592704472741,0.03267803113081681,4,4,73,1.0
Abu Dhabi Grand Prix,SOFT,0.08489532234433164,,1,1,3,1.0
Australian Grand Prix,HARD,0.0,0.005136862764091879,3,3,54,1.0
Australian Grand Prix,MEDIUM,0.05903379152447453,,1,1,6,1.0
Austrian Grand Prix,HARD,0.03629958465081666,0.02587378163155571,4,4,93,1.0
Austrian Grand Prix,MEDIUM,0.05528928867469087,0.02355906446673645,4,4,81,1.0
Azerbaijan Grand Prix,HARD,0.057322694437634214,0.03404655857025406,4,4,66,1.0
Azerbaijan Grand Prix,MEDIUM,0.055060485466537225,0.07580897113823852,3,3,24,1.0
Bahrain Grand Prix,HARD,0.10222269132921888,0.02512854722677911,4,4,83,1.0
Bahrain Grand Prix,MEDIUM,0.12572631535867287,0.014158329279974624,2,2,42,1.0
Bahrain Grand Prix,SOFT,0.11369244099724068,0.060800392576321347,4,4,39,1.0
Belgian Grand Prix,HARD,0.12267709330813646,0.05767311241958239,2,2,36,1.0
Belgian Grand Prix,MEDIUM,0.1235665132754074,0.08232585628032674,4,4,64,1.0
Belgian Grand Prix,SOFT,0.19798124468809375,0.11670817420141577,2,2,17,1.0
British Grand Prix,HARD,0.04793571046939418,0.009944278520797522,2,2,13,1.0
British Grand Prix,MEDIUM,0.03372472491806587,0.01794053581194103,3,3,49,1.0
British Grand Prix,SOFT,0.0,0.03349308131484585,3,3,25,1.0
Canadian Grand Prix,HARD,0.01599564273201586,0.010973421455814838,3,3,67,1.0
Canadian Grand Prix,MEDIUM,0.011767768684895145,0.00867689531869901,3,3,29,1.0
Chinese Grand Prix,HARD,0.1288922637219846,0.09529226850172225,2,2,27,1.0
Chinese Grand Prix,MEDIUM,0.15113564983308958,0.023665467012872525,2,2,20,1.0
Dutch Grand Prix,HARD,0.0488229825816154,0.011639504540441839,3,3,41,1.0
Dutch Grand Prix,MEDIUM,0.039082171856732545,0.026583175191671294,4,4,57,1.0
Dutch Grand Prix,SOFT,0.03631375921859378,0.026118165160495775,4,4,35,1.0
Emilia Romagna Grand Prix,HARD,0.0273592417073545,0.013962580884645748,2,2,47,1.0
Emilia Romagna Grand Prix,MEDIUM,0.02568625667568649,0.02217000329484668,3,3,45,1.0
French Grand Prix,HARD,0.0,,1,1,18,1.0
French Grand Prix,MEDIUM,0.030948722470992503,,1,1,16,1.0
Hungarian Grand Prix,HARD,0.07791123897715825,0.021852745024687852,4,4,73,1.0
Hungarian Grand Prix,MEDIUM,0.03568454295050393,0.03282788068850924,4,4,76,1.0
Hungarian Grand Prix,SOFT,0.010612599488715048,0.015008482128974595,2,2,13,1.0
Italian Grand Prix,HARD,0.021139152401504685,0.024800178068149742,4,4,59,1.0
Italian Grand Prix,MEDIUM,0.0,0.024546119887630738,4,4,61,1.0
Italian Grand Prix,SOFT,3.7670673730712716e-05,,1,1,7,1.0
Japanese Grand Prix,HARD,0.1024878470745061,0.06984553954195076,3,3,65,1.0
Japanese Grand Prix,MEDIUM,0.10038587015883564,0.04947776761803776,3,3,37,1.0
Japanese Grand Prix,SOFT,0.006611961526198164,,1,1,3,1.0
Las Vegas Grand Prix,HARD,0.0,0.007018249081085164,3,3,72,1.0
Las Vegas Grand Prix,MEDIUM,0.06131838025007015,0.020368007598330146,2,2,10,1.0
Mexico City Grand Prix,HARD,0.010487749366666327,0.020382219730843976,3,3,25,1.0
Mexico City Grand Prix,MEDIUM,0.02110114310997718,0.029188578122428137,4,4,62,1.0
Mexico City Grand Prix,SOFT,0.04181133769265101,0.01398639021456991,2,2,23,1.0
Miami Grand Prix,HARD,0.030444936970183974,0.02547193569975394,4,4,64,1.0
Miami Grand Prix,MEDIUM,0.04846445471358279,0.029170981362892742,4,4,51,1.0
Monaco Grand Prix,HARD,0.0,0.06729348676905232,3,3,40,1.0
Monaco Grand Prix,MEDIUM,0.0,0.06827766230276312,4,4,30,1.0
Qatar Grand Prix,HARD,0.08917713601782457,0.01475295278633575,2,2,37,1.0
Qatar Grand Prix,MEDIUM,0.04237429376320038,0.015194349298477239,2,2,41,1.0
Saudi Arabian Grand Prix,HARD,0.0,0.0,4,4,50,1.0
Saudi Arabian Grand Prix,MEDIUM,0.00778976475502531,0.009169769874356287,4,4,47,1.0
Singapore Grand Prix,HARD,0.007880759162260506,0.0377762201666638,3,3,48,1.0
Singapore Grand Prix,MEDIUM,0.0,0.0,3,3,52,1.0
Singapore Grand Prix,SOFT,0.0,0.0,2,2,11,1.0
Spanish Grand Prix,HARD,0.08201289513115852,0.012616733125861538,2,2,34,1.0
Spanish Grand Prix,MEDIUM,0.0821344095624236,0.03766578653696887,4,4,80,1.0
Spanish Grand Prix,SOFT,0.08837182148886075,0.02811679647747838,4,4,40,1.0
São Paulo Grand Prix,MEDIUM,0.06598395594907938,0.0384306876266913,3,3,51,1.0
São Paulo Grand Prix,SOFT,0.06433769166940802,0.0351751955534176,3,3,25,1.0
United States Grand Prix,HARD,0.0708535376043943,0.014069570671479396,3,3,49,1.0
United States Grand Prix,MEDIUM,0.06290327560355138,0.0356783726032017,4,4,66,1.0
United States Grand Prix,SOFT,0.07147115131534508,,1,1,8,1.0
