Season,Round,predictor,n_drivers,mae_expected,mae_ranked,rps,brier_win,brier_podium,brier_points
2023,19,grid order,20,4.75,4.65,,,,
2023,19,grid history,20,3.7549223013794397,4.25,,0.05176827964971935,0.07987800157667362,0.21148316164409026
2023,20,grid order,20,4.25,4.25,,,,
2023,20,grid history,20,3.5336786293511024,4.05,,0.019944790680311946,0.10001233319354592,0.2150003663776801
2023,21,grid order,20,5.6,5.6,,,,
2023,21,grid history,20,4.794963739185585,5.7,,0.042051604154801574,0.07893037059823722,0.28858899266115307
2023,22,grid order,20,2.1,2.1,,,,
2023,22,grid history,20,3.023575122862613,1.6,,0.019935040688728155,0.05571170445679554,0.12424921024560617
2024,1,grid order,20,2.3,2.3,,,,
2024,1,grid history,20,3.176255437362117,2.4,,0.019676947512196452,0.09914561661692287,0.10945821195126433
2024,2,grid order,20,2.45,2.45,,,,
2024,2,grid history,20,3.058413193525215,2.45,,0.019423834388472793,0.03593423099176722,0.13527966845656572
2024,3,grid order,19,3.8421052631578947,3.8421052631578947,,,,
2024,3,grid history,19,4.065492870763201,3.9473684210526314,,0.04446871569738676,0.07831222110413127,0.2032794815405856
2024,4,grid order,20,2.05,2.05,,,,
2024,4,grid history,20,2.809564814034439,2.25,,0.01942305238926932,0.054523791853313096,0.10043282296810459
2024,5,grid order,20,2.85,2.85,,,,
2024,5,grid history,20,3.0573324320090998,2.85,,0.019177934656221477,0.0538351012975369,0.1313774100355967
2024,6,grid order,20,2.8,2.8,,,,
2024,6,grid history,20,3.325905397477429,2.7,,0.06044686194306338,0.06762478863168336,0.1655645524369317
2024,7,grid order,20,2.1,2.1,,,,
2024,7,grid history,20,3.101686353654277,2.4,,0.019068604925467643,0.035531460002552626,0.12056133455904519
2024,8,grid order,20,1.1,1.1,,,,
2024,8,grid history,20,2.5991831704604444,1.4,,0.018832431942104537,0.03509080459412165,0.09779616279886404
2024,9,grid order,20,3.5,3.5,,,,
2024,9,grid history,20,3.124132534075757,3.4,,0.04267469377060345,0.03465829843651122,0.16154414042581766
2024,10,grid order,20,1.5,1.5,,,,
2024,10,grid history,20,2.6738841343128614,1.4,,0.042152654244795744,0.03423374174582946,0.10053899246844042
2024,11,grid order,20,3.2,3.2,,,,
2024,11,grid history,20,3.6615886016595054,3.2,,0.05261574546505027,0.1264493412206365,0.17442176191507083
2024,12,grid order,20,2.55,2.55,,,,
2024,12,grid history,20,3.5307257151338662,2.85,,0.04167685293783301,0.07285002679562128,0.13773382271464524
2024,13,grid order,20,2.5,2.5,,,,
2024,13,grid history,20,3.3662284942598175,2.9,,0.04117620714090386,0.06775753101887413,0.18018890338725174
2024,14,grid order,20,2.9,2.9,,,,
2024,14,grid history,20,3.3723899289666996,2.9,,0.052061774104274726,0.07952279785426662,0.13419300273712134
2024,15,grid order,20,2.5,2.5,,,,
2024,15,grid history,20,3.00573644424009,2.5,,0.019896190583824816,0.06845933701023608,0.13028919159263114
2024,16,grid order,20,2.1,2.1,,,,
2024,16,grid history,20,2.900469620136401,2.2,,0.05871465841044843,0.05344986431305958,0.10468416017930585
2024,17,grid order,20,4.4,4.4,,,,
2024,17,grid history,20,4.218608537039318,4.5,,0.04096708114965556,0.06635180085666756,0.20676031803474615
2024,18,grid order,20,2.7,2.7,,,,
2024,18,grid history,20,2.875535721595894,2.8,,0.020021474706735456,0.06557753609884259,0.11338351272572142
2024,19,grid order,20,3.8,3.8,,,,
2024,19,grid history,20,3.8029961093573847,3.5,,0.05816141321864793,0.07353767694275704,0.23143361794490658
2024,20,grid order,20,3.55,3.85,,,,
2024,20,grid history,20,3.242613246768772,3.35,,0.01993478077216037,0.06638529725429615,0.138313108308217
2024,21,grid order,20,4.2,4.2,,,,
2024,21,grid history,20,3.3188566751493624,4.3,,0.06106976822424143,0.177611294096834,0.18765437832353576
2024,22,grid order,20,2.95,2.95,,,,
2024,22,grid history,20,3.38521830643721,2.85,,0.019802371110397603,0.07730000856293551,0.1464216476745015
2024,23,grid order,20,2.9,2.9,,,,
2024,23,grid history,20,2.9813192651869755,3.1,,0.041168870655560456,0.10372760806082722,0.14066775243466087
2024,24,grid order,20,4.15,4.15,,,,
2024,24,grid history,20,3.745205327956345,4.25,,0.019801023622347563,0.09348331526797905,0.15961057368806789
2025,1,grid order,20,3.95,3.95,,,,
2025,1,grid history,20,3.2270547904715263,3.95,,0.019579144362158254,0.06550475728966437,0.19353665458684005
2025,2,grid order,20,4.6,4.6,,,,
2025,2,grid history,20,4.101101553170797,4.7,,0.019360973750867403,0.03460688656501858,0.2495946412173567
2025,3,grid order,20,0.9,0.9,,,,
2025,3,grid history,20,2.6612080852221944,1.3,,0.019146429593187943,0.03422302363009579,0.09088274250343825
2025,4,grid order,20,3.15,3.15,,,,
2025,4,grid history,20,3.3871617622195154,3.15,,0.018935431958458544,0.08135932558485842,0.17704539579220605
2025,5,grid order,20,2.75,2.75,,,,
2025,5,grid history,20,2.9610579091486775,2.75,,0.04180482618310204,0.05244535527467266,0.13947611629269013
2025,6,grid order,20,2.4,2.4,,,,
2025,6,grid history,20,2.5157348721298,2.7,,0.058289063481751835,0.10433238405744653,0.10903814074359355
2025,7,grid order,20,3.55,3.55,,,,
2025,7,grid history,20,3.385492540178125,3.35,,0.04135284261509769,0.05157061219643431,0.1681939153298799
2025,8,grid order,20,2.75,2.75,,,,
2025,8,grid history,20,3.2319069398884848,2.75,,0.01928535398785742,0.034257480057864956,0.11910281966212795
2025,9,grid order,19,3.210526315789474,3.210526315789474,,,,
2025,9,grid history,19,3.399366127628418,3.3157894736842106,,0.020077586050157897,0.0785131421686518,0.14158238981898022
2025,10,grid order,20,3.15,3.15,,,,
2025,10,grid history,20,3.4996041306191628,3.15,,0.018875069293652874,0.050959688091213304,0.17409300543723302
2025,11,grid order,20,3.1,3.1,,,,
2025,11,grid history,20,3.2397183733700934,3.1,,0.018674787858292154,0.03392929099644755,0.18049947774861366
2025,12,grid order,20,4.3,4.3,,,,
2025,12,grid history,20,3.679197110398796,4.3,,0.05339831230189448,0.09967159990062235,0.19902582045703146
2025,13,grid order,20,2.9,2.9,,,,
2025,13,grid history,20,3.358469724397517,3.0,,0.04178505631568109,0.033398543027695474,0.16305415438779078
2025,14,grid order,20,2.3,2.3,,,,
2025,14,grid history,20,2.750855885345179,2.2,,0.05286697074358202,0.07126930027069682,0.11383477238662335
2025,15,grid order,20,5.95,5.95,,,,
2025,15,grid history,20,5.080939900380046,6.05,,0.018984358552901533,0.06479935550355899,0.3099786477141332
2025,16,grid order,20,2.95,2.95,,,,
2025,16,grid history,20,3.2639429219423852,3.15,,0.018788124106661128,0.03304120095886282,0.1637041535051787
2025,17,grid order,20,2.6,2.6,,,,
2025,17,grid history,20,2.9582174626566937,2.7,,0.018594916649618775,0.06620629450127336,0.1073892086681083
2025,18,grid order,20,2.3,2.3,,,,
2025,18,grid history,20,2.8546887132938266,2.2,,0.018404674242986883,0.06552869570902084,0.1314484413475996
2025,19,grid order,20,2.9,2.9,,,,
2025,19,grid history,20,3.158517562855939,2.9,,0.018217336524189297,0.03271859004326132,0.1297928900639644
2025,20,grid order,20,3.25,3.25,,,,
2025,20,grid history,20,3.0723408600045823,3.25,,0.01803284465897074,0.06487428687549443,0.13457071424000727
2025,21,grid order,20,3.15,3.15,,,,
2025,21,grid history,20,3.366673267596229,3.05,,0.017851141295195338,0.07781804211981642,0.15044311621328377
2025,22,grid order,20,5.2,5.2,,,,
2025,22,grid history,20,4.471876023495792,5.3,,0.04279779865896996,0.1177798703864418,0.29553020801585717
2025,23,grid order,20,3.85,3.85,,,,
2025,23,grid history,20,3.527815868782798,3.85,,0.053370877808103026,0.08906578419373945,0.15577599021364932
2025,24,grid order,20,2.6,2.6,,,,
2025,24,grid history,20,3.412778808898909,2.8,,0.018015262149785487,0.03249907623025053,0.1982222128217402
