Season,Round,Race,starters,classified,training_races,state,reason
2018,1,Australian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2018,2,Bahrain Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,3,Chinese Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2018,4,Azerbaijan Grand Prix,20,13,0,excluded,before 2022: 13-inch tyre era
2018,5,Spanish Grand Prix,20,14,0,excluded,before 2022: 13-inch tyre era
2018,6,Monaco Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,7,Canadian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,8,French Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,9,Austrian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2018,10,British Grand Prix,20,14,0,excluded,before 2022: 13-inch tyre era
2018,11,German Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2018,12,Hungarian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,13,Belgian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2018,15,Singapore Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2018,16,Russian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2018,17,Japanese Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2018,18,United States Grand Prix,20,14,0,excluded,before 2022: 13-inch tyre era
2018,19,Mexican Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2018,20,Brazilian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2018,21,Abu Dhabi Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2019,1,Australian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2019,2,Bahrain Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2019,3,Chinese Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,4,Azerbaijan Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2019,5,Spanish Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,6,Monaco Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2019,7,Canadian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,8,French Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2019,9,Austrian Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2019,10,British Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2019,11,German Grand Prix,20,14,0,excluded,before 2022: 13-inch tyre era
2019,12,Hungarian Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2019,13,Belgian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,14,Italian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2019,15,Singapore Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2019,16,Russian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2019,17,Japanese Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2019,18,Mexican Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,19,United States Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2019,20,Brazilian Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2019,21,Abu Dhabi Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2020,1,Austrian Grand Prix,20,13,0,excluded,before 2022: 13-inch tyre era
2020,2,Styrian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2020,3,Hungarian Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2020,4,British Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2020,5,70th Anniversary Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2020,6,Spanish Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2020,7,Belgian Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2020,8,Italian Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2020,9,Tuscan Grand Prix,20,12,0,excluded,before 2022: 13-inch tyre era
2020,10,Russian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2020,11,Eifel Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2020,12,Portuguese Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2020,13,Emilia Romagna Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2020,14,Turkish Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2020,15,Bahrain Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2020,16,Sakhir Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2020,17,Abu Dhabi Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2021,1,Bahrain Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,2,Emilia Romagna Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2021,3,Portuguese Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2021,4,Spanish Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2021,5,Monaco Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,6,Azerbaijan Grand Prix,20,16,0,excluded,before 2022: 13-inch tyre era
2021,7,French Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2021,8,Styrian Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,9,Austrian Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2021,10,British Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,11,Hungarian Grand Prix,20,13,0,excluded,before 2022: 13-inch tyre era
2021,12,Belgian Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2021,13,Dutch Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,14,Italian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2021,15,Russian Grand Prix,20,19,0,excluded,before 2022: 13-inch tyre era
2021,16,Turkish Grand Prix,20,20,0,excluded,before 2022: 13-inch tyre era
2021,17,United States Grand Prix,20,17,0,excluded,before 2022: 13-inch tyre era
2021,18,Mexico City Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,19,São Paulo Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,20,Qatar Grand Prix,20,18,0,excluded,before 2022: 13-inch tyre era
2021,21,Saudi Arabian Grand Prix,20,15,0,excluded,before 2022: 13-inch tyre era
2021,22,Abu Dhabi Grand Prix,19,15,0,excluded,before 2022: 13-inch tyre era
2022,1,Bahrain Grand Prix,20,19,0,excluded,"only 0 same-era races before it, floor is 40"
2022,2,Saudi Arabian Grand Prix,19,14,1,excluded,"only 1 same-era races before it, floor is 40"
2022,3,Australian Grand Prix,20,17,2,excluded,"only 2 same-era races before it, floor is 40"
2022,4,Emilia Romagna Grand Prix,20,18,3,excluded,"only 3 same-era races before it, floor is 40"
2022,5,Miami Grand Prix,20,17,4,excluded,"only 4 same-era races before it, floor is 40"
2022,6,Spanish Grand Prix,20,18,5,excluded,"only 5 same-era races before it, floor is 40"
2022,7,Monaco Grand Prix,20,17,6,excluded,"only 6 same-era races before it, floor is 40"
2022,8,Azerbaijan Grand Prix,20,16,7,excluded,"only 7 same-era races before it, floor is 40"
2022,9,Canadian Grand Prix,20,17,8,excluded,"only 8 same-era races before it, floor is 40"
2022,10,British Grand Prix,20,14,9,excluded,"only 9 same-era races before it, floor is 40"
2022,11,Austrian Grand Prix,20,17,10,excluded,"only 10 same-era races before it, floor is 40"
2022,12,French Grand Prix,20,16,11,excluded,"only 11 same-era races before it, floor is 40"
2022,13,Hungarian Grand Prix,20,20,12,excluded,"only 12 same-era races before it, floor is 40"
2022,14,Belgian Grand Prix,20,18,13,excluded,"only 13 same-era races before it, floor is 40"
2022,15,Dutch Grand Prix,20,18,14,excluded,"only 14 same-era races before it, floor is 40"
2022,16,Italian Grand Prix,20,16,15,excluded,"only 15 same-era races before it, floor is 40"
2022,17,Singapore Grand Prix,20,14,16,excluded,"only 16 same-era races before it, floor is 40"
2022,18,Japanese Grand Prix,20,18,17,excluded,"only 17 same-era races before it, floor is 40"
2022,19,United States Grand Prix,20,17,18,excluded,"only 18 same-era races before it, floor is 40"
2022,20,Mexico City Grand Prix,20,19,19,excluded,"only 19 same-era races before it, floor is 40"
2022,21,São Paulo Grand Prix,20,17,20,excluded,"only 20 same-era races before it, floor is 40"
2022,22,Abu Dhabi Grand Prix,20,19,21,excluded,"only 21 same-era races before it, floor is 40"
2023,1,Bahrain Grand Prix,20,17,22,excluded,"only 22 same-era races before it, floor is 40"
2023,2,Saudi Arabian Grand Prix,20,18,23,excluded,"only 23 same-era races before it, floor is 40"
2023,3,Australian Grand Prix,20,17,24,excluded,"only 24 same-era races before it, floor is 40"
2023,4,Azerbaijan Grand Prix,20,18,25,excluded,"only 25 same-era races before it, floor is 40"
2023,5,Miami Grand Prix,20,20,26,excluded,"only 26 same-era races before it, floor is 40"
2023,6,Monaco Grand Prix,20,19,27,excluded,"only 27 same-era races before it, floor is 40"
2023,7,Spanish Grand Prix,20,20,28,excluded,"only 28 same-era races before it, floor is 40"
2023,8,Canadian Grand Prix,20,18,29,excluded,"only 29 same-era races before it, floor is 40"
2023,9,Austrian Grand Prix,20,19,30,excluded,"only 30 same-era races before it, floor is 40"
2023,10,British Grand Prix,20,18,31,excluded,"only 31 same-era races before it, floor is 40"
2023,11,Hungarian Grand Prix,20,18,32,excluded,"only 32 same-era races before it, floor is 40"
2023,12,Belgian Grand Prix,20,18,33,excluded,"only 33 same-era races before it, floor is 40"
2023,13,Dutch Grand Prix,20,17,34,excluded,"only 34 same-era races before it, floor is 40"
2023,14,Italian Grand Prix,20,18,35,excluded,"only 35 same-era races before it, floor is 40"
2023,15,Singapore Grand Prix,19,16,36,excluded,"only 36 same-era races before it, floor is 40"
2023,16,Japanese Grand Prix,20,15,37,excluded,"only 37 same-era races before it, floor is 40"
2023,17,Qatar Grand Prix,20,17,38,excluded,"only 38 same-era races before it, floor is 40"
2023,18,United States Grand Prix,20,17,39,excluded,"only 39 same-era races before it, floor is 40"
