Driver,delta,sigma,median,count
ANT,0.0,0.807,76.184,58
LEC,0.059,1.116,76.243,57
NOR,0.141,0.942,76.324,58
HAM,0.143,1.002,76.327,59
RUS,0.361,0.77,76.545,57
PIA,0.543,1.153,76.727,57
LAW,1.022,0.888,77.206,58
HUL,1.78,1.03,77.964,56
TSU,1.824,0.876,78.008,55
BOR,2.014,1.208,78.198,57
GAS,2.132,1.137,78.316,56
COL,2.26,1.366,78.444,54
LIN,2.55,1.053,78.734,58
ALO,2.591,0.945,78.775,58
OCO,2.61,0.82,78.794,43
STR,2.918,0.739,79.102,35
ALB,2.923,0.876,79.107,51
SAI,3.154,0.839,79.338,55
PER,3.488,1.124,79.672,57
BOT,3.804,0.766,79.988,48
