,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
GAS,0.0012,0.004,0.0089,0.015,0.027,0.0504,0.0844,0.1284,0.1194,0.1033,0.0861,0.0706,0.0607,0.0483,0.0385,0.0295,0.02,0.0136,0.0087,0.0075,0.0114,0.0226,0.0405
RUS,0.0832,0.1236,0.1583,0.1745,0.1532,0.1092,0.0574,0.029,0.0137,0.0105,0.0069,0.0061,0.0041,0.0038,0.0025,0.0008,0.0007,0.0004,0.0009,0.0029,0.0092,0.0157,0.0334
LEC,0.3,0.2152,0.156,0.099,0.0601,0.0364,0.0174,0.0082,0.0053,0.0037,0.0034,0.0039,0.0019,0.0012,0.0008,0.0002,0.0005,0.0003,0.0007,0.0025,0.0117,0.0251,0.0465
HAM,0.3136,0.239,0.1668,0.106,0.06,0.0298,0.0127,0.0066,0.0029,0.0045,0.0029,0.0031,0.002,0.0012,0.0006,0.001,0.0002,0.0003,0.0007,0.0015,0.0062,0.0132,0.0252
VER,0.0066,0.0202,0.0444,0.0752,0.1306,0.1954,0.2212,0.0931,0.046,0.0266,0.016,0.0124,0.009,0.0066,0.0049,0.0032,0.0019,0.0005,0.001,0.0035,0.0101,0.0246,0.047
PIA,0.0271,0.0544,0.0886,0.1336,0.1801,0.193,0.1236,0.0543,0.03,0.0202,0.0117,0.0083,0.0074,0.0053,0.0034,0.002,0.0009,0.0012,0.0006,0.0023,0.0071,0.0164,0.0285
COL,0.0003,0.0015,0.0036,0.006,0.0112,0.0228,0.0427,0.0687,0.0841,0.0966,0.0938,0.0935,0.0903,0.0861,0.0695,0.0516,0.0427,0.0329,0.0203,0.0132,0.0132,0.0222,0.0332
NOR,0.0685,0.1081,0.1382,0.1777,0.1756,0.1248,0.0628,0.0267,0.0162,0.0084,0.0076,0.0051,0.0054,0.0043,0.0032,0.0014,0.0004,0.0001,0.0003,0.0027,0.0072,0.0194,0.0359
LIN,0.0002,0.0008,0.0025,0.0035,0.0081,0.0144,0.0325,0.0513,0.0749,0.0836,0.0999,0.1047,0.1024,0.0946,0.0837,0.068,0.0501,0.034,0.0214,0.0122,0.0117,0.0183,0.0272
BOR,0.0006,0.0019,0.0038,0.0074,0.0107,0.0227,0.044,0.0676,0.0772,0.0845,0.0998,0.095,0.0894,0.0847,0.0715,0.061,0.0465,0.0291,0.0184,0.0143,0.0124,0.0227,0.0348
BEA,0.0,0.0003,0.0004,0.0017,0.002,0.004,0.0065,0.0097,0.0129,0.0202,0.0302,0.0378,0.0543,0.0744,0.0888,0.1083,0.122,0.1224,0.0989,0.0778,0.0502,0.0399,0.0373
HUL,0.0002,0.0015,0.0032,0.0058,0.0114,0.0188,0.0335,0.0559,0.0756,0.0895,0.0898,0.0988,0.094,0.0922,0.079,0.0599,0.0441,0.0318,0.0209,0.0141,0.0139,0.0242,0.0419
SAI,0.0,0.0002,0.0004,0.0013,0.0025,0.0037,0.0061,0.0116,0.0188,0.0256,0.0359,0.0517,0.0676,0.0795,0.1074,0.1156,0.119,0.1022,0.0811,0.0527,0.0382,0.0345,0.0444
OCO,0.0001,0.0002,0.0009,0.0019,0.0042,0.0054,0.0093,0.0176,0.0245,0.0388,0.0501,0.0603,0.0795,0.0918,0.1107,0.1145,0.1067,0.0845,0.0625,0.0394,0.0303,0.0291,0.0377
TSU,0.0008,0.0027,0.0065,0.0124,0.0222,0.0459,0.086,0.1437,0.1515,0.121,0.1053,0.0824,0.0578,0.0405,0.026,0.0183,0.0112,0.0064,0.0039,0.0033,0.0076,0.0168,0.0278
BOT,0.0,0.0,0.0,0.0002,0.0003,0.0006,0.0015,0.0019,0.0034,0.0038,0.0056,0.0081,0.0075,0.0104,0.015,0.0242,0.0406,0.0716,0.1166,0.1798,0.2051,0.1843,0.1195
PER,0.0,0.0,0.0001,0.0001,0.001,0.0008,0.0019,0.0029,0.0045,0.0069,0.0089,0.0113,0.0148,0.0196,0.0283,0.0454,0.0661,0.0922,0.1307,0.1648,0.1736,0.1424,0.0837
STR,0.0,0.0,0.0,0.0002,0.001,0.0016,0.0027,0.0047,0.0056,0.0064,0.0108,0.0128,0.0182,0.0241,0.0358,0.0551,0.0811,0.1175,0.1493,0.1565,0.1424,0.1091,0.0651
ANT,0.1951,0.2206,0.2035,0.1507,0.0912,0.0429,0.0198,0.0076,0.005,0.0051,0.0041,0.0036,0.0034,0.0025,0.0007,0.0005,0.0001,0.0003,0.0009,0.0023,0.0046,0.0121,0.0234
ALB,0.0,0.0002,0.0007,0.0007,0.0012,0.0031,0.0055,0.0085,0.013,0.0192,0.0257,0.0355,0.0476,0.0647,0.0905,0.1079,0.1217,0.128,0.1141,0.0797,0.0521,0.0396,0.0408
ALO,0.0,0.0002,0.0002,0.0006,0.0009,0.0015,0.003,0.0048,0.0074,0.0081,0.012,0.0151,0.019,0.0271,0.0315,0.0519,0.0684,0.0981,0.1295,0.1548,0.1638,0.134,0.0681
LAW,0.0,0.001,0.0032,0.0062,0.0121,0.0193,0.0345,0.0595,0.0784,0.0976,0.1121,0.1074,0.1113,0.0979,0.0765,0.0591,0.0405,0.0243,0.0132,0.0081,0.0077,0.011,0.0191
HAD,0.0025,0.0044,0.0098,0.0203,0.0334,0.0535,0.091,0.1377,0.1297,0.1159,0.0814,0.0725,0.0524,0.0392,0.0312,0.0206,0.0146,0.0083,0.0054,0.0041,0.0103,0.0228,0.039
